Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
accidental (adj.),ˌæksɪˈdɛntl/ অ্যাকসিডেন্টাল/ ak-si-den-tl,"Happening by chance, unintentionally, or unexpectedly",দুর্ঘটনাবশত / আকস্মিক,The discovery of penicillin was completely accidental.,"A dropped coffee cup spilling over a map, stylized vector art","accidental death, accidental damage, accidental discovery",
accidentally (adv.),ˌæksɪˈdɛntli/ অ্যাকসিডেন্টালি/ ak-si-den-tl-ee,By chance; inadvertently,দুর্ঘটনাবশত,I accidentally deleted the important file.,"A cartoon character with an ""oops"" expression pressing the wrong big red button","accidentally delete, accidentally discover, accidentally drop",
accommodation (n.),əˌkɒməˈdeɪʃn/ অ্যাকোমোডেশন/ uh-kom-uh-day-shuhn,"A room, group of rooms, or building in which someone may live or stay",বাসস্থান,We found cheap accommodation near the beach.,"A cozy, warmly lit cabin bedroom with a neat bed, soft lighting, digital painting","temporary accommodation, cheap accommodation, find accommodation",
accompany (v.),əˈkʌmpəni/ একাম্পানি/ uh-kuhm-puh-nee,Go somewhere with (someone) as a companion or escort,সঙ্গী হওয়া,I will accompany you to the hospital.,"Two figures walking side by side on a path towards a bright horizon, silhouette art","accompany someone, children must be accompanied, accompany on piano",
according to (prep.),əˈkɔːrdɪŋ tuː/ একর্ডিং টু/ uh-kawr-ding too,As stated by or in,অনুসারে,"According to the weather forecast, it will rain tomorrow.","A person pointing at an open rulebook or map, clean illustration","according to the law, according to experts, according to a report",
"account (n.), (v.) ",əˈkaʊnt/ একাউন্ট/ uh-kownt,A report or description of an event or experience; a record of money,হিসাব / বিবরণ,I need to check my bank account balance.,"A futuristic digital bank vault with glowing numbers floating around, 3D render","bank account, take into account, detailed account",
accurate (adj.),ˈækjərət/ একিউরেট/ ak-yer-it,Correct in all details; exact,সঠিক,The witness gave an accurate description of the suspect.,"An arrow hitting dead center in a bullseye target, sharp focus, vibrant colors","accurate information, highly accurate, accurate representation",
accurately (adv.),ˈækjərətli/ একিউরেটলি/ ak-yer-it-lee,In a way that is correct in all details; exactly,নির্ভুলভাবে,The thermometer measures the temperature accurately.,"A precise digital measuring tool glowing with green numbers, tech aesthetic","accurately reflect, accurately predict, accurately measure",
accuse (v.),əˈkjuːz/ একিউজ/ uh-kyooz,Claim that (someone) has done something wrong,অভিযুক্ত করা,He was accused of stealing the money.,"A pointing finger directing blame at a shadowy figure, dramatic lighting, noir style","accuse of a crime, falsely accuse, directly accuse",
achieve (v.),əˈtʃiːv/ অ্যাচিভ/ uh-cheev,"Successfully bring about or reach (a desired objective, level, or result) by effort, skill, or courage",অর্জন করা,She worked hard to achieve her goals.,"A mountain climber planting a flag at the snowy peak at sunrise, inspiring art","achieve a goal, achieve success, achieve a result",
achievement (n.),əˈtʃiːvmənt/ অ্যাচিভমেন্ট/ uh-cheev-muhnt,"A thing done successfully, typically by effort, courage, or skill",অর্জন,Winning the championship was his greatest achievement.,"A shiny golden trophy sitting proudly on a marble pedestal, glittering sparkles","great achievement, outstanding achievement, sense of achievement",
acid (n.),ˈæsɪd/ এসিড/ as-id,"A chemical substance that neutralizes alkalis, dissolves some metals",অ্যাসিড / অম্ল,Lemon juice contains a high level of acid.,"A glowing green liquid bubbling inside a glass beaker, neon laboratory setting","stomach acid, amino acid, acid rain",
acknowledge (v.),əkˈnɒlɪdʒ/ একনলেজ/ ak-nol-ij,Accept or admit the existence or truth of,স্বীকার করা,He refused to acknowledge his mistake.,"A person nodding thoughtfully in agreement, minimal line art style","acknowledge receipt, acknowledge the truth, widely acknowledged",
acquire (v.),əˈkwaɪər/ একোয়ার/ uh-kwahyr,Buy or obtain (an object or asset) for oneself,অর্জন করা / লাভ করা,They acquired a new company last year.,"Two hands carefully holding a glowing golden coin, signifying acquisition, digital art","acquire knowledge, acquire a skill, newly acquired",
"across (adv.), (prep.) ",əˈkrɒs/ এক্রস/ uh-kros,From one side to the other of (something),আড়াআড়ি / ওপারে,She walked across the street.,"A sturdy wooden bridge spanning across a peaceful river, scenic digital painting","across the street, run across, across the country",
"act (n.), (v.) ",ækt/ অ্যাক্ট/ akt,Take action; do something,কাজ করা / অভিনয় করা,We must act quickly to solve the problem.,"Theater drama masks (comedy and tragedy) hanging on a wall, spotlight on them","act quickly, act as, catch in the act",
action (n.),ˈækʃn/ অ্যাকশন/ ak-shuhn,"The fact or process of doing something, typically to achieve an aim",কাজ / পদক্ষেপ,The government must take action to reduce pollution.,"A movie clapperboard snapping shut with motion blur, energetic vector art","take action, course of action, military action",
active (adj.),ˈæktɪv/ অ্যাক্টিভ/ ak-tiv,Engaging or ready to engage in physically energetic pursuits,সক্রিয়,He is an active member of the community.,"A person running energetically on a bright track, vibrant dynamic illustration","physically active, remain active, active role",
actively (adv.),ˈæktɪvli/ অ্যাক্টিভলি/ ak-tiv-lee,In an energetic or engaging manner,সক্রিয়ভাবে,She is actively looking for a new job.,"Gears turning vigorously inside a lightbulb, conceptualizing active thinking","actively participate, actively involve, actively encourage",
activity (n.),ækˈtɪvəti/ অ্যাক্টিভিটি/ ak-tiv-i-tee,A thing that a person or group does or has done,কার্যকলাপ,Reading is her favorite leisure activity.,"A collage of sports equipment, books, and art supplies, colorful flat lay design","physical activity, criminal activity, outdoor activity",
"actor, actress (n.) ","ˈæktər, ˈæktrɪs/ অ্যাক্টর, অ্যাকট্রেস/ ak-ter, ak-tris","A person whose profession is acting on the stage, in movies, or on television",অভিনেতা / অভিনেত্রী,He is a famous Hollywood actor.,A glamorous figure holding a golden award statuette under bright stage lights,"leading actor, famous actress, professional actor",
actual (adj.),ˈæktʃuəl/ অ্যাকচুয়াল/ ak-choo-uhl,"Existing in fact; typically as contrasted with what was intended, expected, or believed",প্রকৃত,The actual cost was much higher than expected.,"A magnifying glass revealing the sharp truth underneath a blurry surface, conceptual","actual size, actual cost, actual physical",
actually (adv.),ˈæktʃuəli/ অ্যাকচুয়ালি/ ak-choo-uh-lee,As the truth or facts of a situation; really,প্রকৃতপক্ষে,I didn't actually see what happened.,"A speech bubble with an exclamation mark, emphasizing truth, simple graphics","actually happen, actually mean, well actually",
ad (advertisement ),æd/ অ্যাড/ ad,A notice or announcement in a public medium promoting a product,বিজ্ঞাপন,I saw an ad for that new phone on TV.,"A glowing billboard in a futuristic city displaying a flashy commercial, cyberpunk style","place an ad, run an ad, TV ad",
adapt (v.),əˈdæpt/ অ্যাডাপ্ট/ uh-dapt,Make (something) suitable for a new use or purpose; modify,খাপ খাইয়ে নেওয়া,Animals must adapt to their changing environments.,"A chameleon blending perfectly with vibrant jungle leaves, realistic digital art","adapt to change, easily adapted, adapt a book",
add (v.),æd/ অ্যাড/ ad,"Join (something) to something else so as to increase the size, number, or amount",যোগ করা,Don't forget to add salt to the soup.,"A glowing mathematical plus symbol surrounded by swirling particles, 3D abstract","add up, add value, add sugar",
addition (n.),əˈdɪʃn/ এডিশন/ uh-dish-uhn,The action or process of adding something to something else,সংযোজন,The new room is a great addition to the house.,"Stacking colorful building blocks higher and higher, bright vector illustration","in addition to, recent addition, welcome addition",
additional (adj.),əˈdɪʃənl/ এডিশনাল/ uh-dish-uh-nl,"Added, extra, or supplementary to what is already present or available",অতিরিক্ত,We need additional time to finish the project.,"A shiny golden bonus star popping up on a digital screen, game UI style","additional information, additional cost, additional resources",
"address (n.), (v.) ",əˈdrɛs/ এড্রেস/ uh-dres,The particulars of the place where someone lives or an organization is situated,ঠিকানা / সম্বোধন করা,Please write your name and address on the form.,"A classic red mailbox with a letter peeking out, warm neighborhood background","home address, email address, address an issue",
adequate (adj.),ˈædɪkwət/ এডিকোয়েট/ ad-i-kwit,Satisfactory or acceptable in quality or quantity,পর্যাপ্ত,The food was adequate for our needs.,"A gauge needle pointing exactly to the middle green zone labeled ""sufficient""","adequate for, adequate supply, barely adequate",
adequately (adv.),ˈædɪkwətli/ এডিকোয়েটলি/ ad-i-kwit-lee,To a satisfactory or acceptable extent,পর্যাপ্তভাবে,The students were adequately prepared for the exam.,"A neatly packed backpack with all necessary school supplies, flat lay style","adequately trained, adequately prepared, adequately address",
adjust (v.),əˈdʒʌst/ এডজাস্ট/ uh-juhst,"Alter or move (something) slightly in order to achieve the desired fit, appearance, or result",সমন্বয় করা,He had to adjust his glasses to read the sign.,"A hand turning a metallic dial on a vintage radio to find a clear signal, retro art","adjust to, easily adjust, finely adjusted",
admiration (n.),ˌædməˈreɪʃn/ এডমিরেশন/ ad-muh-ray-shuhn,Respect and warm approval,প্রশংসা,I have great admiration for her work.,"Sparkling eyes gazing upwards at a glowing star, expressive digital painting","express admiration, deep admiration, mutual admiration",
admire (v.),ədˈmaɪər/ এডমায়ার/ uhd-mahy-er,"Regard (an object, quality, or person) with respect or warm approval",প্রশংসা করা,I really admire your courage.,"A person looking at a beautiful painting in a museum with awe, soft lighting","admire someone, greatly admire, stop to admire",
admit (v.),ədˈmɪt/ এডমিট/ uhd-mit,"Confess to be true or to be the case, typically with reluctance",স্বীকার করা,She finally admitted her mistake.,"A person raising one hand as if taking an oath, honest expression, flat design","admit defeat, freely admit, refuse to admit",
adopt (v.),əˈdɒpt/ এডপ্ট/ uh-dopt,Legally take another's child and bring it up as one's own; choose to take up,দত্তক নেওয়া / গ্রহণ করা,They decided to adopt a child from the orphanage.,"A family holding hands and welcoming a new child with floating hearts, wholesome art","adopt a child, adopt a policy, widely adopted",
"adult (n.), (adj.) ",ˈædʌlt/ এডাল্ট/ ad-uhlt,A person who is fully grown or developed,প্রাপ্তবয়স্ক,The movie is suitable for adults only.,A lineup showing the silhouette transition from child to a full-grown adult,"young adult, adult education, fully grown adult",
"advance (n.), (v.) ",ədˈvɑːns/ এডভান্স/ uhd-vans,Move forwards in a purposeful way; progress,অগ্রসর হওয়া / অগ্রগতি,The army was ordered to advance.,"A glowing green arrow moving forward on a futuristic digital grid, tech style","in advance, advance warning, technological advance",
advanced (adj.),ədˈvɑːnst/ এডভান্সড/ uhd-vanst,Far on or ahead in development or progress,উন্নত,This class is for advanced students.,"A complex holographic gear mechanism turning smoothly, high-tech science fiction","advanced technology, advanced level, highly advanced",
advantage (n.),ədˈvɑːntɪdʒ/ এডভান্টেজ/ uhd-van-tij,A condition or circumstance that puts one in a favorable or superior position,সুবিধা,His height gives him an advantage in basketball.,"A chess piece (knight) standing tall on a glowing winning square, strategic concept","take advantage of, distinct advantage, unfair advantage",
adventure (n.),ədˈvɛntʃər/ এডভেঞ্চার/ uhd-ven-cher,"An unusual and exciting, typically hazardous, experience or activity",দুঃসাহসিক কাজ,They went on a thrilling adventure in the jungle.,A vintage compass sitting on top of an old treasure map with a jungle backdrop,"sense of adventure, great adventure, adventure sports",
advertise (v.),ˈædvətaɪz/ এডভারটাইজ/ ad-ver-tahyz,"Describe or draw attention to (a product, service, or event) in a public medium",বিজ্ঞাপন দেওয়া,The company hired a firm to advertise their new product.,"A colorful megaphone broadcasting glowing digital icons, pop art illustration","heavily advertise, widely advertise, advertise a product",
"advertisement (also ad, advert) (n.) ",ədˈvɜːtɪsmənt/ এডভারটাইজমেন্ট/ ad-ver-tahyz-muhnt,"A notice or announcement in a public medium promoting a product, service, or event",বিজ্ঞাপন,She saw an advertisement for the job in the newspaper.,"A modern smartphone screen showing a flashy promotional banner, sleek 3D graphic","television advertisement, place an advertisement, job advertisement",
advertising (n.),ˈædvətaɪzɪŋ/ এডভারটাইজিং/ ad-ver-tahyz-ing,The activity or profession of producing advertisements for commercial products or services,বিজ্ঞাপন শিল্প / প্রচার,He works in the advertising industry.,"A creative agency desk with sketches, color palettes, and a laptop, top-down view","advertising campaign, advertising agency, spend on advertising",
advice (n.),ədˈvaɪs/ এডভাইস/ uhd-vahys,Guidance or recommendations offered with regard to prudent future action,উপদেশ,I need some advice on buying a car.,"A wise old owl perched on a branch, giving a gentle hoot, storybook illustration","give advice, take advice, piece of advice",
advise (v.),ədˈvaɪz/ এডভাইজ/ uhd-vahyz,Offer suggestions about the best course of action to someone,উপদেশ দেওয়া,The doctor advised him to stop smoking.,"A doctor warmly pointing to a health chart while talking to a patient, clean vector","strongly advise, advise against, advise someone to",
affair (n.),əˈfɛər/ এফেয়ার/ uh-fair,An event or sequence of events of a specified kind or that has previously been referred to,বিষয় / ব্যাপার,The party was a very grand affair.,"A top-secret folder stamped with ""CONFIDENTIAL"" on a wooden desk, noir lighting","foreign affairs, current affairs, private affair",
affect (v.),əˈfɛkt/ এফেক্ট/ uh-fekt,Have an effect on; make a difference to,প্রভাবিত করা,The bad weather will affect our travel plans.,"A single water drop causing bright, far-reaching ripples across a calm pond","directly affect, deeply affect, significantly affect",
affection (n.),əˈfɛkʃn/ এফেকশন/ uh-fek-shuhn,A gentle feeling of fondness or liking,স্নেহ,She felt a deep affection for her old school.,"Two hands gently cradling a glowing pink heart, soft pastel background","deep affection, show affection, lack of affection",
afford (v.),əˈfɔːrd/ এফোর্ড/ uh-fawrd,Have enough money to pay for,সামর্থ্য থাকা,I can't afford to buy a new car right now.,"An open wallet with floating green dollar bills and a shining gold card, 3D icon","afford to buy, can ill afford, easily afford",
afraid (adj.),əˈfreɪd/ এফ্রেইড/ uh-freyd,Feeling fear or anxiety; frightened,ভীত,She is afraid of spiders.,"A person looking nervously at a giant looming shadow on the wall, expressive lighting","afraid of, terribly afraid, nothing to be afraid of",
"after (prep.), (conj.), (adv.) ",ˈɑːftər/ আফটার/ af-ter,In the time following (an event or another period of time),পরে,We will meet after the meeting.,"A clock with the minute hand sweeping forward, leaving a bright trail of light","day after day, shortly after, look after",
afternoon (n.),ˌɑːftəˈnuːn/ আফটারনুন/ af-ter-noon,The time from noon or lunchtime to evening,বিকাল,Let's go for a walk in the afternoon.,"A golden sunset casting long shadows across a peaceful park, warm color palette","late afternoon, tomorrow afternoon, Sunday afternoon",
afterwards (especially BrE; NAmE usually afterward) (adv.),ˈɑːftəwədz/ আফটারওয়ার্ডস/ af-ter-werdz,At a later or future time,পরবর্তীতে,We had dinner and went to the cinema afterwards.,"A calendar page flipping forward to a new day, motion blur effect","shortly afterwards, long afterwards, soon afterwards",
again (adv.),əˈɡɛn/ এগেইন/ uh-gen,Another time; once more,আবার,Please play that song again.,"A circular looping glowing arrow symbol, neon colors against dark background","try again, once again, never again",
against (prep.),əˈɡɛnst/ এগেইনস্ট/ uh-genst,In opposition to,বিরুদ্ধে,They fought against the enemy.,"Two opposing chess pieces (white and black king) locked in a standoff, dramatic","against the law, fight against, lean against",
age (n.),eɪdʒ/ এইজ/ eyj,The length of time that a person has lived or a thing has existed,বয়স,He started playing piano at the age of five.,A timeline showing the growth of a tree from a sapling to a massive oak,"at the age of, young age, old age",
aged (adj.),ˈeɪdʒɪd/ এইজড/ ey-jid,Having lived for a specified length of time; old,বয়স্ক,They have two children aged five and seven.,"A distinguished elderly person with silver hair smiling gently, detailed portrait","middle-aged, people aged, children aged",
agency (n.),ˈeɪdʒənsi/ এজেন্সি/ ey-juhn-see,A business or organization established to provide a particular service,সংস্থা,She works for an advertising agency.,A modern glass office building with a sleek company logo on the front,"travel agency, government agency, advertising agency",
agent (n.),ˈeɪdʒənt/ এজেন্ট/ ey-juhnt,A person who acts on behalf of another,প্রতিনিধি / দালাল,We hired a real estate agent to sell our house.,"A slick silhouette of a person in a suit holding a sleek briefcase, spy theme","real estate agent, secret agent, travel agent",
aggressive (adj.),əˈɡrɛsɪv/ এগ্রেসিভ/ uh-gres-iv,Ready or likely to attack or confront; characterized by or resulting from aggression,আক্রমণাত্মক,The dog became very aggressive.,"A fierce tiger baring its teeth, intense gaze, vibrant and striking art","aggressive behavior, aggressive campaign, highly aggressive",
ago (adv.),əˈɡoʊ/ এগো/ uh-goh,Before the present; earlier,আগে,He left ten minutes ago.,"An hourglass with all the sand resting at the bottom, nostalgic sepia tones","years ago, long ago, moments ago",
agree (v.),əˈɡriː/ এগ্রি/ uh-gree,Have the same opinion about something; concur,একমত হওয়া,I completely agree with you.,"Two checkmarks merging into one solid bright green checkmark, clean design","agree with, agree on, fully agree",
agreement (n.),əˈɡriːmənt/ এগ্রিমেন্ট/ uh-gree-muhnt,Harmony or accordance in opinion or feeling; a negotiated and typically legally binding arrangement,চুক্তি / সম্মতি,They signed a peace agreement.,"A formal document with an elegant signature and a golden wax seal, professional","sign an agreement, reach an agreement, verbal agreement",
ahead (adv.),əˈhɛd/ এহেড/ uh-hed,Further forward in space or time,সামনে,The road ahead is very steep.,A bright glowing road stretching into the distant horizon under a starry sky,"look ahead, plan ahead, go ahead",
"aid (n.), (v.) ",eɪd/ এইড/ eyd,"Help, typically of a practical nature",সাহায্য / সাহায্য করা,The organization provides humanitarian aid.,"A medical cross glowing inside a drop of water, symbolizing relief, vector art","first aid, foreign aid, financial aid",
"aim (n.), (v.) ",eɪm/ এইম/ eym,Have the intention of achieving,লক্ষ্য / লক্ষ্য করা,Our aim is to provide the best service.,"A dart hitting the dead center of a glowing red target, dynamic angle","take aim, primary aim, aim high",
air (n.),ɛər/ এয়ার/ air,The invisible gaseous substance surrounding the earth,বাতাস,Take a deep breath of fresh air.,A gentle breeze blowing glowing white dandelions across a green field,"fresh air, in the air, travel by air",
aircraft (n.),ˈɛəkrɑːft/ এয়ারক্রাফট/ air-kraft,"An airplane, helicopter, or other machine capable of flight",বিমান,The aircraft landed safely at the airport.,A sleek silver passenger jet soaring high above a bed of fluffy clouds,"military aircraft, enemy aircraft, fly an aircraft",
airport (n.),ˈɛəpɔːt/ এয়ারপোর্ট/ air-pawrt,"A complex of runways and buildings for the take-off, landing, and maintenance of civil aircraft",বিমানবন্দর,We arrived at the airport two hours early.,A busy airport terminal at night with neon runway lights and airplanes lined up,"international airport, arrive at the airport, nearest airport",
"alarm (n.), (v.) ",əˈlɑːm/ এলার্ম/ uh-lahrm,An anxious awareness of danger; a warning sound,বিপদাশঙ্কা / সতর্কঘণ্টা,The fire alarm rang loudly.,A bright red emergency bell ringing wildly with sound waves radiating out,"fire alarm, sound the alarm, false alarm",
alarmed (adj.),əˈlɑːmd/ এলার্মড/ uh-lahrmd,Frightened or worried,শঙ্কিত,She was alarmed by the sudden loud noise.,"A cartoon face with wide eyes and sweat drops, expressing shock and fear","grow alarmed, feel alarmed, alarmed by",
alarming (adj.),əˈlɑːmɪŋ/ এলার্মিং/ uh-lahrm-ing,Worrying or disturbing,উদ্বেগজনক,The alarming rise in temperatures is concerning.,"A frantic red warning sign flashing ""DANGER"" on a futuristic computer screen","alarming rate, alarming increase, alarming statistics",
alcohol (n.),ˈælkəhɒl/ এলকোহল/ al-kuh-hol,"A colorless volatile flammable liquid which is the intoxicating constituent of wine, beer, spirits",মদ / অ্যালকোহল,He doesn't drink alcohol.,"A classic crystal glass filled with an amber liquid and ice cubes, elegant lighting","consume alcohol, alcohol abuse, strictly no alcohol",
"alcoholic (adj.), (n.) ",ˌælkəˈhɒlɪk/ এলকোহলিক/ al-kuh-hol-ik,Containing or relating to alcoholic liquor; a person suffering from alcoholism,মদ্যপ / অ্যালকোহলযুক্ত,She ordered a non-alcoholic drink.,"A half-empty wine bottle next to a tipped-over glass, moody dramatic lighting","alcoholic drink, recovering alcoholic, heavily alcoholic",
alive (adj.),əˈlaɪv/ এলাইভ/ uh-lahyv,"Living, not dead",জীবিত,He is the luckiest man alive to have survived the crash.,"A vibrant green plant sprouting from a crack in a barren gray rock, symbolizing life","keep alive, still alive, come alive",
"all (det.), (pron.), (adv.) ",ɔːl/ অল/ awl,The whole quantity or extent of a particular group or thing,সব / সমস্ত,All the students passed the exam.,"A massive group of diverse people holding hands in a giant circle, aerial view","all day, all right, all the best",
"all right (adj.), (adv.), (exclamation) ",ɔːl raɪt/ অল রাইট/ awl rahyt,Satisfactory; acceptable; in good condition,ঠিক আছে,Is everything all right?,"A thumbs up symbol with a cheerful yellow smiley face, simple graphic","feel all right, doing all right, seem all right",
allied (adj.),ˈælaɪd/ অ্যালাইড/ al-ahyd,Joined by or relating to members of an alliance,মিত্র,The allied forces won the war.,"Flags of different nations tied together waving in the wind, heroic sky background","allied forces, allied nations, closely allied",
allow (v.),əˈlaʊ/ অ্যালাউ/ uh-low,Give (someone) permission to do something,অনুমতি দেওয়া,Smoking is not allowed in the building.,"A glowing green open gate inviting someone to walk through, magical lighting","allow to do, allow access, not allowed",
"ally (n.), (v.) ",ˈælaɪ/ অ্যালাই/ al-ahy,A state formally cooperating with another for a military or other purpose,মিত্র / মিত্রতা করা,The two countries are strong allies.,"Two hands grasping each other firmly in a sign of solidarity, dramatic shadow","close ally, political ally, natural ally",
almost (adv.),ˈɔːlmoʊst/ অলমোস্ট/ awl-mohst,Not quite; very nearly,প্রায়,We are almost there.,"A car approaching the finish line on a race track, motion blur","almost impossible, almost finished, almost certainly",
"alone (adj.), (adv.) ",əˈloʊn/ অ্যালোন/ uh-lohn,Having no one else present,একাকী,He was alone in the room.,"A single person sitting on a park bench under a streetlamp, moody lighting","live alone, stand alone, leave someone alone",
"along (prep.), (adv.) ",əˈlɒŋ/ অ্যালং/ uh-long,Moving in a constant direction on a path,বরাবর,We walked along the river.,"A scenic walking trail running parallel to a gentle, winding river","along the road, walk along, along with",
"alongside (prep.), (adv.) ",əˌlɒŋˈsaɪd/ অ্যালংসাইড/ uh-long-sahyd,Close to the side of; next to,পাশাপাশি,He parked his car alongside mine.,Two boats sailing closely parallel to each other on clear blue water,"work alongside, pull alongside, alongside the road",
aloud (adv.),əˈlaʊd/ অ্যালাউড/ uh-lowd,Audibly; not silently or in a whisper,উচ্চস্বরে,She read the letter aloud.,A person reading from a book with sound waves emanating from their mouth,"read aloud, think aloud, say aloud",
alphabet (n.),ˈælfəbɛt/ অ্যালফাবেট/ al-fuh-bet,A set of letters or symbols in a fixed order,বর্ণমালা,Children learn the alphabet in school.,Colorful wooden alphabet blocks stacked neatly on a white background,"learn the alphabet, phonetic alphabet, letter of the alphabet",
alphabetical (adj.),ˌælfəˈbɛtɪkl/ অ্যালফাবেটিকাল/ al-fuh-bet-i-kuhl,Arranged in the order of the letters of the alphabet,বর্ণানুক্রমিক,The names are listed in alphabetical order.,"A clean list on a screen sorted from A to Z with arrows, flat design","alphabetical order, strictly alphabetical, alphabetical list",
alphabetically (adv.),ˌælfəˈbɛtɪkli/ অ্যালফাবেটিকালি/ al-fuh-bet-i-klee,In alphabetical order,বর্ণানুক্রমিকভাবে,The files are arranged alphabetically.,A glowing digital filing cabinet sorting documents from A to Z automatically,"arrange alphabetically, list alphabetically, sort alphabetically",
