Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
furniture,(n.),Everyday environments & spaces,The family home,ˈfɜːnɪtʃə/ ফার্নিচার/ fur-ni-cher,"Large movable equipment, such as tables and chairs, used to make a space suitable for living or working",আসবাবপত্র,They bought new furniture for the living room.,"A cozy living room with a couch, table, and lamp","[
{
""phrase"": ""second-hand furniture"",
""example_sentence"": ""They bought second-hand furniture for the living room.""
},
{
""phrase"": ""office furniture"",
""example_sentence"": ""They bought new office furniture for the living room.""
},
{
""phrase"": ""flat-pack furniture"",
""example_sentence"": ""They bought new flat-pack furniture for the living room.""
}
]","furnishings, fittings, fixtures",
garage,(n.),Everyday environments & spaces,The family home,ˈɡærɑːʒ/ গ্যারেজ/ gar-ahzh,A building for housing a motor vehicle or vehicles,গ্যারেজ,He parked his car in the garage.,A car pulling into a large open garage door,"[
{
""phrase"": ""park in the garage"",
""example_sentence"": ""Visitors should park in the garage behind the main building.""
},
{
""phrase"": ""garage door"",
""example_sentence"": ""The garage door was checked during the safety inspection.""
},
{
""phrase"": ""underground garage"",
""example_sentence"": ""He parked his car in the underground garage.""
}
]","carport, workshop, depot",
household,"(n.), (adj.)",Everyday environments & spaces,The family home,ˈhaʊshəʊld/ হাউসহোল্ড/ house-hold,A house and its occupants regarded as a unit.,পরিবার / গৃহস্থালী,Many households own at least one car.,"A happy family sitting together in a modern living room, warm lighting, vector art","[
{
""phrase"": ""household chores"",
""example_sentence"": ""Everyone was asked to organize the household chores before the deadline.""
},
{
""phrase"": ""household income"",
""example_sentence"": ""The latest report showed that the household income had changed again this year.""
},
{
""phrase"": ""household goods"",
""example_sentence"": ""Everyone was asked to organize the household goods before the deadline.""
}
]","family, domestic, home, residence","foreign, public"
housing,(n.),Everyday environments & spaces,The family home,ˈhaʊzɪŋ/ হাউজিং/ how-zing,Houses and apartments considered collectively,বাসস্থান,There is a shortage of affordable housing.,"A dense neighborhood of many identical, closely packed apartment buildings","[
{
""phrase"": ""housing market"",
""example_sentence"": ""The housing market has changed significantly over the past year.""
},
{
""phrase"": ""social housing"",
""example_sentence"": ""There is a shortage of affordable social housing.""
},
{
""phrase"": ""housing development"",
""example_sentence"": ""The housing development of new technology is fast.""
}
]","accommodation, shelter, dwelling, residence",homelessness
heating,(n.),Everyday environments & spaces,The family home,ˈhiːtɪŋ/ হিটিং/ hee-ting,"Equipment or devices used to provide heat, especially to a building",উত্তাপ ব্যবস্থা,We need to fix the central heating.,"A brightly glowing radiator inside a cozy, warmly lit wooden room","[
{
""phrase"": ""central heating"",
""example_sentence"": ""We need to fix the central heating.""
},
{
""phrase"": ""underfloor heating"",
""example_sentence"": ""We need to fix the underfloor heating.""
},
{
""phrase"": ""heating system"",
""example_sentence"": ""The heating system was checked during the safety inspection.""
}
]","warmth, heat, central heating","cooling, refrigeration"
carpet,(n.),Everyday environments & spaces,The family home,ˈkɑːpɪt/ কার্পেট/ kahr-pit,A floor covering made from thick woven fabric,কার্পেট / গালিচা,The room has a red carpet.,A rolled out lush red carpet,"[
{
""phrase"": ""fitted carpet"",
""example_sentence"": ""The room has a red fitted carpet.""
},
{
""phrase"": ""wall-to-wall carpet"",
""example_sentence"": ""The room has a red wall-to-wall carpet.""
},
{
""phrase"": ""red carpet"",
""example_sentence"": ""The room has a red carpet.""
}
]","rug, mat, flooring",
curtain,(n.),Everyday environments & spaces,The family home,ˈkɜːtn/ কার্টেন/ kur-tn,A piece of material suspended at the top to form a covering or screen,পর্দা,She drew the curtains.,Heavy red velvet theater curtains,"[
{
""phrase"": ""draw the curtains"",
""example_sentence"": ""Please draw the curtains before the presentation starts.""
},
{
""phrase"": ""heavy curtains"",
""example_sentence"": ""She drew the heavy curtains.""
},
{
""phrase"": ""net curtain"",
""example_sentence"": ""She drew the net curtain.""
}
]","drape, blind, screen",
closet,(n.),Everyday environments & spaces,The family home,ˈklɒzɪt/ ক্লোজেট/ kloz-it,"A tall cupboard or wardrobe with a door, used for storage",আলমারি,Hang your coat in the closet.,"A spacious, highly organized wooden closet filled with neatly hung clothes","[
{
""phrase"": ""walk-in closet"",
""example_sentence"": ""Hang your coat in the walk-in closet.""
},
{
""phrase"": ""closet door"",
""example_sentence"": ""The closet door was checked during the safety inspection.""
},
{
""phrase"": ""hide in the closet"",
""example_sentence"": ""People often hide in the closet when the situation requires it.""
}
]","wardrobe, cupboard, cabinet",
cupboard,(n.),Everyday environments & spaces,The family home,ˈkʌbəd/ কাবোর্ড/ kuhb-erd,"A cabinet or closet, usually with a door and shelves, used for storage",আলমারি,The plates are in the cupboard.,A wooden kitchen cupboard with plates,"[
{
""phrase"": ""kitchen cupboard"",
""example_sentence"": ""The plates are in the kitchen cupboard.""
},
{
""phrase"": ""bare cupboard"",
""example_sentence"": ""The plates are in the bare cupboard.""
}
]","cabinet, wardrobe, closet",
owner,(n.),Everyday environments & spaces,The family home,ˈoʊnə/ ওউনার/ oh-ner,A person who owns something.,মালিক,Are you the owner of this dog?,A person smiling and affectionately holding the leash of a happy dog.,"[
{
""phrase"": ""business owner"",
""example_sentence"": ""Are you the business owner of this dog?""
},
{
""phrase"": ""proud owner"",
""example_sentence"": ""Are you the proud owner of this dog?""
}
]","proprietor, possessor, holder","tenant, renter"
painter,(n.),Everyday environments & spaces,The family home,ˈpeɪntə/ পেইন্টার/ peyn-ter,An artist who paints pictures; a person whose job is painting buildings.,চিত্রশিল্পী / রংমিস্ত্রি,He is a famous portrait painter.,"An artist wearing an apron, holding a palette, standing in front of a canvas.","[
{
""phrase"": ""famous painter"",
""example_sentence"": ""The famous painter spoke confidently at the event.""
},
{
""phrase"": ""landscape painter"",
""example_sentence"": ""The landscape painter spoke confidently at the event.""
}
]","artist, decorator, illustrator",
painting,(n.),Everyday environments & spaces,The family home,ˈpeɪntɪŋ/ পেইন্টিং/ peyn-ting,"The process or art of using paint, in a picture, as a protective coating, or as decoration.",চিত্রকর্ম,She bought a beautiful oil painting.,"A highly detailed, framed oil painting of a peaceful sunset landscape.","[
{
""phrase"": ""oil painting"",
""example_sentence"": ""She bought a beautiful oil painting.""
},
{
""phrase"": ""famous painting"",
""example_sentence"": ""The famous painting was carefully stored after use.""
}
]","picture, artwork, canvas, illustration",
picture,(n.),Everyday environments & spaces,The family home,ˈpɪktʃə/ পিকচার/ pik-cher,A painting or drawing; a photograph.,ছবি,I took a picture of the mountains.,A framed photograph of a family hung neatly on a living room wall.,"[
{
""phrase"": ""take a picture"",
""example_sentence"": ""Visitors often take a picture at the entrance to the museum.""
},
{
""phrase"": ""draw a picture"",
""example_sentence"": ""The children were asked to draw a picture in art class.""
}
]","image, photo, painting, illustration",
property,(n.),Everyday environments & spaces,The family home,ˈprɒpəti/ প্রপার্টি/ prop-er-tee,A thing or things belonging to someone; possessions collectively.,সম্পত্তি,The police recovered the stolen property.,"A beautiful residential house sitting on a wide, green lawn.","[
{
""phrase"": ""private property"",
""example_sentence"": ""The police recovered the stolen private property.""
},
{
""phrase"": ""intellectual property"",
""example_sentence"": ""The police recovered the stolen intellectual property.""
}
]","asset, estate, possession, real estate","debt, liability"
radio,(n.),Everyday environments & spaces,The family home,ˈreɪdioʊ/ রেডিও/ rey-dee-oh,"The transmission and reception of electromagnetic waves of radio frequency, especially those carrying sound messages.",রেডিও,I listen to the radio every morning.,"A vintage, wooden encased radio set with large dials and a speaker.","[
{
""phrase"": ""on the radio"",
""example_sentence"": ""We heard the announcement on the radio this morning.""
},
{
""phrase"": ""radio station"",
""example_sentence"": ""We visited the radio station during the site inspection.""
}
]","receiver, broadcast, wireless",
ceiling,(n.),Everyday environments & spaces,The family home,ˈsiːlɪŋ/ সিলিং/ see-ling,The upper interior surface of a room,সিলিং / ছাদ,A beautiful chandelier hung from the ceiling.,An ornate white ceiling with a crystal chandelier,"[
{
""phrase"": ""glass ceiling"",
""example_sentence"": ""A beautiful chandelier hung from the glass ceiling.""
},
{
""phrase"": ""high ceiling"",
""example_sentence"": ""A beautiful chandelier hung from the high ceiling.""
},
{
""phrase"": ""stare at the ceiling"",
""example_sentence"": ""When I cannot sleep, I sometimes stare at the ceiling for a few minutes.""
}
]","roof, top, overhead",floor
table,(n.),Everyday environments & spaces,The family home,ˈteɪbl/ টেবিল/ tey-buhl,"A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed, and that can be used for such purposes as eating, writing, working, or playing games",টেবিল,She placed the book on the table.,"A sturdy, polished oak wooden dining table","[
{
""phrase"": ""dining table"",
""example_sentence"": ""She placed the book on the dining table.""
},
{
""phrase"": ""table tennis"",
""example_sentence"": ""The students played table tennis after class.""
}
]","desk, counter, surface",
television (also TV),(n.),Everyday environments & spaces,The family home,ˈtɛlɪvɪʒn/ টেলিভিশন/ tel-uh-vizh-uhn,A system for transmitting visual images and sound that are reproduced on screens,টেলিভিশন,We sat down to watch television.,"A flat-screen television showing a bright, colorful sports game","[
{
""phrase"": ""watch television"",
""example_sentence"": ""We sat down to watch television.""
},
{
""phrase"": ""television screen"",
""example_sentence"": ""The television screen was checked during the safety inspection.""
}
]","telly, screen, set",
window,(n.),Everyday environments & spaces,The family home,ˈwɪndoʊ/ উইন্ডো/ win-doh,An opening in the wall or roof of a building or vehicle that is fitted with glass or other transparent material in a frame to admit light or air,জানালা,He looked out the window.,"A bright, sunny, open window looking out onto a beautiful green garden","[
{
""phrase"": ""open the window"",
""example_sentence"": ""Could you open the window for a moment, please?""
},
{
""phrase"": ""broken window"",
""example_sentence"": ""He looked out the broken window.""
}
]","pane, opening, casement",wall
decoration,(n.),Everyday environments & spaces,The family home,ˌdɛkəˈreɪʃn/ ডেকোরেশন/ dek-uh-rey-shuhn,The process or art of decorating or adorning something,সাজসজ্জা,The Christmas decorations are beautiful.,A shiny glass ornament hanging on a pine tree,"[
{
""phrase"": ""Christmas decoration"",
""example_sentence"": ""The Christmas decorations are beautiful.""
},
{
""phrase"": ""interior decoration"",
""example_sentence"": ""The Christmas interior decoration are beautiful.""
}
]","ornament, adornment, embellishment, trim","plainness, simplicity"
bell,(n.),Everyday environments & spaces,The family home,bɛl/ বেল/ bel,"A hollow object, typically made of metal, that sounds a clear musical note when struck",ঘণ্টা,The school bell rang loudly.,"A shiny brass bell swinging back and forth, emitting sound waves","[
{
""phrase"": ""ring a bell"",
""example_sentence"": ""People often ring a bell when the situation requires it.""
},
{
""phrase"": ""door bell"",
""example_sentence"": ""The school door bell rang loudly.""
},
{
""phrase"": ""alarm bell"",
""example_sentence"": ""The school alarm bell rang loudly.""
}
]","chime, ring, buzzer",
blind,(adj.),Everyday environments & spaces,The family home,blaɪnd/ ব্লাইন্ড/ blahynd,Unable to see,অন্ধ,He has been blind since birth.,A person wearing dark sunglasses using a white walking stick,"[
{
""phrase"": ""go blind"",
""example_sentence"": ""We decided to go blind as soon as the weather improved.""
},
{
""phrase"": ""partially blind"",
""example_sentence"": ""The discussion focused on the partially blind.""
},
{
""phrase"": ""blind eye"",
""example_sentence"": ""The discussion focused on the blind eye.""
}
]","sightless, visually impaired, unseeing","sighted, aware"
domestic,(adj.),Everyday environments & spaces,The family home,dəˈmɛstɪk/ ডোমেস্টিক/ duh-mes-tik,Relating to the running of a home or to family relations,গার্হস্থ্য / দেশীয়,She loves domestic chores like baking and cleaning.,A cozy living room with a crackling fireplace and a cat sleeping,"[
{
""phrase"": ""domestic violence"",
""example_sentence"": ""The discussion focused on the domestic violence.""
},
{
""phrase"": ""domestic flight"",
""example_sentence"": ""Our domestic flight leaves at 6 AM.""
}
]","household, home, internal, local","foreign, international"
door,(n.),Everyday environments & spaces,The family home,dɔː/ ডোর/ dawr,"A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle",দরজা,Please close the front door.,"A heavy, ornate, ancient wooden door with iron hinges","[
{
""phrase"": ""front door"",
""example_sentence"": ""Please close the front door.""
},
{
""phrase"": ""open the door"",
""example_sentence"": ""Could you open the door for a moment, please?""
}
]","entrance, gate, entry, portal",exit
drawer,(n.),Everyday environments & spaces,The family home,drɔː/ ড্রয়ার/ drawr,"A box-like storage compartment without a lid, made to slide horizontally in and out of a desk, chest, or other piece of furniture",ড্রয়ার / টানাকল,I found the keys in the top drawer.,"An open wooden drawer filled with neat, organized colorful socks","[
{
""phrase"": ""top drawer"",
""example_sentence"": ""I found the keys in the top drawer.""
},
{
""phrase"": ""bottom drawer"",
""example_sentence"": ""I found the keys in the top bottom drawer.""
}
]","compartment, tray, slot",
apart from,(prep.),Everyday environments & spaces,The family home,əˈpɑːt frɒm/ অ্যাপার্ট ফ্রম/ uh-pahrt from,Except for,তাছাড়া / ব্যতীত,"Apart from the weather, the trip was great.",A single green apple isolated from a large pile of shiny red apples,"[
{
""phrase"": ""apart from that"",
""example_sentence"": ""The discussion focused on the apart from that.""
},
{
""phrase"": ""quite apart from"",
""example_sentence"": ""Quite apart from from the weather, the trip was great.""
},
{
""phrase"": ""stand apart from"",
""example_sentence"": ""Good managers know how to stand apart from others respectfully.""
}
]","besides, except for, other than, excluding",including
apartment,(n.),Everyday environments & spaces,The family home,əˈpɑːtmənt/ অ্যাপার্টমেন্ট/ uh-pahrt-muhnt,"A suite of rooms forming one residence, typically in a building",অ্যাপার্টমেন্ট (বাসা),They rented a small apartment in the city.,A modern city apartment building with warmly lit windows at dusk,"[
{
""phrase"": ""apartment block"",
""example_sentence"": ""The discussion focused on the apartment block.""
},
{
""phrase"": ""rent an apartment"",
""example_sentence"": ""Many young professionals choose to rent an apartment near their workplace.""
},
{
""phrase"": ""apartment building"",
""example_sentence"": ""We visited the apartment building during the site inspection.""
}
]","flat, unit, suite, dwelling",
photographer,(n.),Everyday environments & spaces,The family home,fəˈtɒɡrəfə/ ফটোগ্রাফার/ fuh-tog-ruh-fer,"A person who takes photographs, especially as a job.",আলোকচিত্রী / ফটোগ্রাফার,She is a professional wildlife photographer.,A person holding a professional DSLR camera with a huge zoom lens outdoors.,"[
{
""phrase"": ""professional photographer"",
""example_sentence"": ""The discussion focused on the professional photographer.""
},
{
""phrase"": ""amateur photographer"",
""example_sentence"": ""The discussion focused on the amateur photographer.""
}
]","cameraman, photojournalist, lensman",
fence,(n.),Everyday environments & spaces,The family home,fɛns/ ফেন্স/ fens,"A barrier, railing, or other upright structure, typically of wood or wire, enclosing an area of ground",বেড়া,They built a wooden fence around the garden.,"A neat, freshly painted white wooden picket fence","[
{
""phrase"": ""wooden fence"",
""example_sentence"": ""They built a wooden fence around the garden.""
},
{
""phrase"": ""jump the fence"",
""example_sentence"": ""They built a wooden jump the fence around the garden.""
}
]","barrier, wall, boundary, railing",
floor,(n.),Everyday environments & spaces,The family home,flɔː/ ফ্লোর/ flawr,"The lower surface of a room, on which one may walk",মেঝে / তলা,He dropped his keys on the floor.,"A highly polished, shiny wooden hardwood floor reflecting light","[
{
""phrase"": ""ground floor"",
""example_sentence"": ""He dropped his keys on the ground floor.""
},
{
""phrase"": ""dance floor"",
""example_sentence"": ""He dropped his keys on the dance floor.""
}
]","ground, base, bottom, level","ceiling, roof"
frame,"(n.), (v.)",Everyday environments & spaces,The family home,freɪm/ ফ্রেম/ freym,A rigid structure that surrounds or encloses something such as a door or window,কাঠামো / বাঁধানো,He bought a wooden frame for the picture.,An ornate wooden picture frame hanging on a wall,"[
{
""phrase"": ""picture frame"",
""example_sentence"": ""He bought a wooden picture frame for the picture.""
},
{
""phrase"": ""window frame"",
""example_sentence"": ""He bought a wooden window frame for the picture.""
}
]","border, structure, mount, enclose",
gate,(n.),Everyday environments & spaces,The family home,ɡeɪt/ গেট/ geyt,"A hinged barrier used to close an opening in a wall, fence, or hedge",ফটক,He opened the wooden gate.,An ornate black iron gate swinging slightly open,"[
{
""phrase"": ""iron gate"",
""example_sentence"": ""He opened the wooden iron gate.""
},
{
""phrase"": ""front gate"",
""example_sentence"": ""He opened the wooden front gate.""
}
]","entrance, barrier, door, portal",exit
house,(n.),Everyday environments & spaces,The family home,haʊs/ হাউস/ hows,"A building for human habitation, especially one that is lived in by a family or small group of people",বাড়ি,They moved into a new house.,A charming two-story suburban home with a neat lawn,"[
{
""phrase"": ""move house"",
""example_sentence"": ""The company plans to move house next month.""
},
{
""phrase"": ""build a house"",
""example_sentence"": ""The council plans to build a house next year.""
}
]","home, dwelling, residence, property",
hall,(n.),Everyday environments & spaces,The family home,hɔːl/ হল/ hawl,The room or space just inside the front entrance of a house or flat,হলঘর,Leave your coat in the hall.,"A long, elegant hallway lined with doors and framed paintings","[
{
""phrase"": ""town hall"",
""example_sentence"": ""Leave your coat in the town hall.""
},
{
""phrase"": ""city hall"",
""example_sentence"": ""Leave your coat in the city hall.""
}
]","corridor, hallway, passage, lobby",
clock,(n.),Everyday environments & spaces,The family home,klɒk/ ক্লক/ klok,"A mechanical or electrical device for measuring time, indicating hours, minutes, and sometimes seconds",ঘড়ি,The clock on the wall says it's three o'clock.,A classic round analog wall clock showing exactly twelve o'clock,"[
{
""phrase"": ""alarm clock"",
""example_sentence"": ""The alarm clock on the wall says it's three o'clock.""
},
{
""phrase"": ""round the clock"",
""example_sentence"": ""The discussion focused on the round the clock.""
},
{
""phrase"": ""against the clock"",
""example_sentence"": ""The phrase against the clock appeared in the report.""
}
]","timepiece, watch, timer",
lamp,(n.),Everyday environments & spaces,The family home,læmp/ ল্যাম্প/ lamp,A device for giving light.,বাতি,She turned on the reading lamp.,A classic brass desk lamp casting a warm yellow light onto an open book.,"[
{
""phrase"": ""table lamp"",
""example_sentence"": ""She turned on the reading table lamp.""
},
{
""phrase"": ""street lamp"",
""example_sentence"": ""She turned on the reading street lamp.""
}
]","light, lantern, torch, bulb",
pipe,(n.),Everyday environments & spaces,The family home,paɪp/ পাইপ/ pahyp,"A tube used to convey water, gas, oil, or other fluid substances.",নল / পাইপ,Water leaked from the broken pipe.,"A thick, metal plumbing pipe leaking a single, clear drop of water.","[
{
""phrase"": ""water pipe"",
""example_sentence"": ""Water leaked from the broken water pipe.""
},
{
""phrase"": ""smoke a pipe"",
""example_sentence"": ""Water leaked from the broken smoke a pipe.""
}
]","tube, conduit, duct, hose",
plug,(n.),Everyday environments & spaces,The family home,plʌɡ/ প্লাগ/ pluhg,A device for making an electrical connection; a piece of solid material fitting tightly into a hole.,প্লাগ / ছিপি,Put the plug in the bath.,A black rubber bath plug firmly set in a white porcelain drain.,"[
{
""phrase"": ""bath plug"",
""example_sentence"": ""Put the bath plug in the bath.""
},
{
""phrase"": ""electric plug"",
""example_sentence"": ""Put the electric plug in the bath.""
}
]","stopper, connector, socket, cap",
roof,(n.),Everyday environments & spaces,The family home,ruːf/ রুফ/ roof,The structure forming the upper covering of a building or vehicle.,ছাদ,The rain was falling heavily on the roof.,A steeply angled house roof covered in classic red clay tiles.,"[
{
""phrase"": ""leaky roof"",
""example_sentence"": ""The rain was falling heavily on the leaky roof.""
},
{
""phrase"": ""on the roof"",
""example_sentence"": ""The rain was falling heavily on the roof.""
}
]","top, covering, canopy, shelter","floor, base"
room,(n.),Everyday environments & spaces,The family home,ruːm/ রুম/ room,"Space that can be occupied or where something can be done; a part or division of a building enclosed by walls, floor, and ceiling.",কক্ষ / জায়গা,This is my living room.,"A bright, airy living room with a comfortable sofa and big windows.","[
{
""phrase"": ""make room"",
""example_sentence"": ""The team decided to make room before the deadline.""
},
{
""phrase"": ""living room"",
""example_sentence"": ""This is my living room.""
}
]","space, chamber, area, compartment",
