Type,Phrase,Pronunciation,Sounds_Like,Bangla_Pronunciation,Meaning,Bangla_Meaning,Collocations,Bangla Collocation,Synonyms,Antonyms,CEFR_Level,Learner_Sublist,example sentence,Bangla example sentence,image prompt related to the example sentence,example sentence (3 sentences in an array)
Phrasal Verb,hang up,/hæŋ ʌp/,HANG up,হ্যাং আপ,To end a phone call; to put clothes on a hook,ফোন কল শেষ করা; রাখা কাপড় উপর হুক,"[{""phrase"": ""hang up the phone"", ""example_sentence"": ""You can hang up the phone in everyday situations.""}, {""phrase"": ""hang up your coat"", ""example_sentence"": ""Workers often hang up your coat during a busy day.""}, {""phrase"": ""hang up the picture"", ""example_sentence"": ""Students should learn to hang up the picture when it is useful.""}]","[{""phrase"": ""phone ফোন কল শেষ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে phone ফোন কল শেষ করা অনুশীলন করে।""}, {""phrase"": ""আপনার coat ফোন কল শেষ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে আপনার coat ফোন কল শেষ করা অনুশীলন করে।""}, {""phrase"": ""picture ফোন কল শেষ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে picture ফোন কল শেষ করা অনুশীলন করে।""}]",end a call; put on a hook,call back; stay on the line; take down,A2,01 - Communication & Discussion,"During the day, Sam had to hang up.","দিনের মধ্যে, স্যামকে ফোন কল শেষ করা বা রাখা কাপড় উপর হুক প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Ella had to hang up before lunch."", ""We decided to hang up during the meeting."", ""They want to hang up this week.""]"
Phrasal Verb,hold back,/hoʊld bæk/,HOHLD BACK,হোল্ড ব্যাক,To restrain; to prevent from progressing,সংযত করা; ঠেকানো থেকে অগ্রগতি হওয়া,"[{""phrase"": ""hold back tears"", ""example_sentence"": ""You can hold back tears in everyday situations.""}, {""phrase"": ""hold back information"", ""example_sentence"": ""Workers often hold back information during a busy day.""}, {""phrase"": ""hold back progress"", ""example_sentence"": ""Students should learn to hold back progress when it is useful.""}]","[{""phrase"": ""tears সংযত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে tears সংযত করা অনুশীলন করে।""}, {""phrase"": ""তথ্য সংযত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে তথ্য সংযত করা অনুশীলন করে।""}, {""phrase"": ""অগ্রগতি সংযত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে অগ্রগতি সংযত করা অনুশীলন করে।""}]",restrain; prevent progress; withhold,release; encourage; let forward,A2,"07 - Problems, Difficulty & Risk","After school, Ella had to hold back.","স্কুলের পর, এলাকে সংযত করা বা ঠেকানো থেকে অগ্রগতি হওয়া প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Jonah had to hold back before lunch."", ""We decided to hold back during the meeting."", ""They want to hold back this week.""]"
Phrasal Verb,hold off,/hoʊld ɔf/,HOHLD AWF,হোল্ড অফ,To delay; to resist,বিলম্ব করা; প্রতিরোধ করা,"[{""phrase"": ""hold off on time"", ""example_sentence"": ""The team tried to hold off on time so the schedule stayed clear.""}, {""phrase"": ""hold off during the project"", ""example_sentence"": ""Things may hold off during the project when the workload increases.""}, {""phrase"": ""hold off without delay"", ""example_sentence"": ""Everyone was ready to hold off without delay after the announcement.""}]","[{""phrase"": ""সময়মতো বিলম্ব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো বিলম্ব করা অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে বিলম্ব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে বিলম্ব করা অনুশীলন করে।""}, {""phrase"": ""দেরি না করে বিলম্ব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে বিলম্ব করা অনুশীলন করে।""}]",delay; postpone; resist,proceed; start; give in,A2,"05 - Time, Scheduling & Process","When the manager was away, Jonah decided to hold off the meeting for one more day.","ম্যানেজার না থাকলে, জোনাহ মিটিংটি জন্য আরও এক দিন বিলম্ব করা বা প্রতিরোধ করার সিদ্ধান্ত নিয়েছিল।","empty meeting room with a rescheduled date on a wall calendar. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""We had to hold off the match because of the rain."", ""Leila will hold off the meeting until Tuesday."", ""They chose to hold off the trip for one week.""]"
Phrasal Verb,hold out,/hoʊld aʊt/,HOHLD out,হোল্ড আউট,To resist; to last or endure,প্রতিরোধ করা; টিকে থাকা বা সহ্য করা,"[{""phrase"": ""hold out on time"", ""example_sentence"": ""The team tried to hold out on time so the schedule stayed clear.""}, {""phrase"": ""hold out during the project"", ""example_sentence"": ""Things may hold out during the project when the workload increases.""}, {""phrase"": ""hold out without delay"", ""example_sentence"": ""Everyone was ready to hold out without delay after the announcement.""}]","[{""phrase"": ""সময়মতো প্রতিরোধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো প্রতিরোধ করা অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে প্রতিরোধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে প্রতিরোধ করা অনুশীলন করে।""}, {""phrase"": ""দেরি না করে প্রতিরোধ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে প্রতিরোধ করা অনুশীলন করে।""}]",resist; endure; last,give in; collapse; run out,A2,"07 - Problems, Difficulty & Risk","During the day, Leila had to hold out.","দিনের মধ্যে, লেইলাকে প্রতিরোধ করা বা টিকে থাকা বা সহ্য করা প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Victor had to hold out before lunch."", ""We decided to hold out during the meeting."", ""They want to hold out this week.""]"
Phrasal Verb,hold up,/hoʊld ʌp/,HOHLD up,হোল্ড আপ,To delay; to rob; to remain strong,বিলম্ব করা; ডাকাতি করা; শক্ত থাকা,"[{""phrase"": ""hold up traffic"", ""example_sentence"": ""You can hold up traffic in everyday situations.""}, {""phrase"": ""hold up the line"", ""example_sentence"": ""Workers often hold up the line during a busy day.""}, {""phrase"": ""hold up under pressure"", ""example_sentence"": ""Students should learn to hold up under pressure when it is useful.""}]","[{""phrase"": ""traffic বিলম্ব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে traffic বিলম্ব করা অনুশীলন করে।""}, {""phrase"": ""line বিলম্ব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে line বিলম্ব করা অনুশীলন করে।""}, {""phrase"": ""under pressure বিলম্ব করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে under pressure বিলম্ব করা অনুশীলন করে।""}]",delay; remain strong; support; rob,speed up; collapse; fail,A2,"05 - Time, Scheduling & Process","After the train strike, Victor decided to hold up the trip until next weekend.","ট্রেন ধর্মঘটের পর, ভিক্টর ভ্রমণটি আগামী সপ্তাহান্ত পর্যন্ত বিলম্ব করা বা ডাকাতি করা বা শক্ত থাকার সিদ্ধান্ত নিয়েছিল।","travelers at a station looking at delayed schedule board and adjusting plans. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""We had to hold up the match because of the rain."", ""Hana will hold up the meeting until Tuesday."", ""They chose to hold up the trip for one week.""]"
Phrasal Verb,keep away from,/kip əweɪ frʌm/,KEEP OOHWAY from,কিপ আওয়েই ফ্রম,To avoid or stay at a distance,এড়িয়ে চলা বা দূরে থাকা,"[{""phrase"": ""keep away from danger"", ""example_sentence"": ""You can keep away from danger in everyday situations.""}, {""phrase"": ""keep away from junk food"", ""example_sentence"": ""Workers often keep away from junk food during a busy day.""}, {""phrase"": ""keep away from negative people"", ""example_sentence"": ""Students should learn to keep away from negative people when it is useful.""}]","[{""phrase"": ""danger দূরে থাকা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে danger দূরে থাকা অনুশীলন করে।""}, {""phrase"": ""জাঙ্ক ফুড দূরে থাকা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে জাঙ্ক ফুড দূরে থাকা অনুশীলন করে।""}, {""phrase"": ""negative মানুষ দূরে থাকা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে negative মানুষ দূরে থাকা অনুশীলন করে।""}]",avoid; stay away from; steer clear of,approach; face; go near,B1,"08 - Change, Growth, Rules & Control","At work, Hana had to keep away from.","কর্মক্ষেত্রে, হানাকে এড়িয়ে চলা বা দূরে থাকা প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Mason had to keep away from before lunch."", ""We decided to keep away from during the meeting."", ""They want to keep away from this week.""]"
Phrasal Verb,keep in mind,/kip ɪn maɪnd/,KEEP een MYND,কিপ ইন মাইন্ড,To remember or consider something,কোনো কিছু মনে রাখা বা বিবেচনা করা,"[{""phrase"": ""keep in mind the deadline"", ""example_sentence"": ""You can keep in mind the deadline in everyday situations.""}, {""phrase"": ""keep in mind the cost"", ""example_sentence"": ""Workers often keep in mind the cost during a busy day.""}, {""phrase"": ""keep in mind your goals"", ""example_sentence"": ""Students should learn to keep in mind your goals when it is useful.""}]","[{""phrase"": ""সময়সীমাটি বিবেচনা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়সীমাটি বিবেচনা করা অনুশীলন করে।""}, {""phrase"": ""খরচটি বিবেচনা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে খরচটি বিবেচনা করা অনুশীলন করে।""}, {""phrase"": ""আপনার লক্ষ্যগুলো বিবেচনা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে আপনার লক্ষ্যগুলো বিবেচনা করা অনুশীলন করে।""}]",remember; bear in mind; consider,forget; ignore; overlook,B1,"02 - Thinking, Learning & Understanding","During the day, Mason had to keep in mind.","দিনের মধ্যে, মেসনকে কোনো কিছু মনে রাখা বা বিবেচনা করা প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Nina had to keep in mind before lunch."", ""We decided to keep in mind during the meeting."", ""They want to keep in mind this week.""]"
Phrasal Verb,keep on,/kip ɑn/,KEEP on,কিপ অন,To continue doing something persistently,অবিরত কোনো কাজ চালিয়ে যাওয়া,"[{""phrase"": ""keep on on time"", ""example_sentence"": ""The team tried to keep on on time so the schedule stayed clear.""}, {""phrase"": ""keep on during the project"", ""example_sentence"": ""Things may keep on during the project when the workload increases.""}, {""phrase"": ""keep on without delay"", ""example_sentence"": ""Everyone was ready to keep on without delay after the announcement.""}]","[{""phrase"": ""সময়মতো অবিরত কোনো কাজ চালিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো অবিরত কোনো কাজ চালিয়ে যাওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে অবিরত কোনো কাজ চালিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে অবিরত কোনো কাজ চালিয়ে যাওয়া অনুশীলন করে।""}, {""phrase"": ""দেরি না করে অবিরত কোনো কাজ চালিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে অবিরত কোনো কাজ চালিয়ে যাওয়া অনুশীলন করে।""}]",continue; persist; carry on,stop; quit; give up,A2,"05 - Time, Scheduling & Process","Despite the rain, Nina decided to keep on with football practice.","বৃষ্টি সত্ত্বেও, নিনা অবিরত ফুটবল অনুশীলন চালিয়ে যাওয়ার সিদ্ধান্ত নিয়েছিল।","outdoor football field in light rain, coach and players continuing practice. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Please keep on with your reading."", ""The workers keep on after the short break."", ""Emma had to keep on despite the noise.""]"
Phrasal Verb,keep out,/kip aʊt/,KEEP out,কিপ আউট,To prevent from entering,প্রবেশ করতে বাধা দেওয়া,"[{""phrase"": ""keep out intruders"", ""example_sentence"": ""You can keep out intruders in everyday situations.""}, {""phrase"": ""keep out cold air"", ""example_sentence"": ""Workers often keep out cold air during a busy day.""}, {""phrase"": ""keep out unwanted visitors"", ""example_sentence"": ""Students should learn to keep out unwanted visitors when it is useful.""}]","[{""phrase"": ""intruders প্রবেশ করতে বাধা দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে intruders প্রবেশ করতে বাধা দেওয়া অনুশীলন করে।""}, {""phrase"": ""cold air প্রবেশ করতে বাধা দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে cold air প্রবেশ করতে বাধা দেওয়া অনুশীলন করে।""}, {""phrase"": ""unwanted visitors প্রবেশ করতে বাধা দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে unwanted visitors প্রবেশ করতে বাধা দেওয়া অনুশীলন করে।""}]",exclude; block entry; prevent entering,let in; include; allow,A2,"08 - Change, Growth, Rules & Control","At work, Adam had to keep out.","কর্মক্ষেত্রে, আদমকে প্রবেশ করতে বাধা দেওয়া প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Emma had to keep out before lunch."", ""We decided to keep out during the meeting."", ""They want to keep out this week.""]"
Phrasal Verb,keep to,/kip tu/,KEEP too,কিপ টু,To adhere to a plan or schedule,পরিকল্পনা বা সময়সূচি মেনে চলা,"[{""phrase"": ""keep to the schedule"", ""example_sentence"": ""You can keep to the schedule in everyday situations.""}, {""phrase"": ""keep to the rules"", ""example_sentence"": ""Workers often keep to the rules during a busy day.""}, {""phrase"": ""keep to the plan"", ""example_sentence"": ""Students should learn to keep to the plan when it is useful.""}]","[{""phrase"": ""সময়সূচিটি পরিকল্পনা বা সময়সূচি মেনে চলা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়সূচিটি পরিকল্পনা বা সময়সূচি মেনে চলা অনুশীলন করে।""}, {""phrase"": ""নিয়মগুলো পরিকল্পনা বা সময়সূচি মেনে চলা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে নিয়মগুলো পরিকল্পনা বা সময়সূচি মেনে চলা অনুশীলন করে।""}, {""phrase"": ""পরিকল্পনাটি পরিকল্পনা বা সময়সূচি মেনে চলা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি পরিকল্পনা বা সময়সূচি মেনে চলা অনুশীলন করে।""}]",follow; adhere to; stick to,break; ignore; depart from,A2,"08 - Change, Growth, Rules & Control","During the day, Emma had to keep to.","দিনের মধ্যে, এমাকে পরিকল্পনা বা সময়সূচি মেনে চলা প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Noah had to keep to before lunch."", ""We decided to keep to during the meeting."", ""They want to keep to this week.""]"
Phrasal Verb,knock off,/nɑk ɔf/,NAHK AWF,নাক অফ,To stop working; to reduce a price,বন্ধ করা কাজ করা; কমানো,"[{""phrase"": ""knock off work early"", ""example_sentence"": ""You can knock off work early in everyday situations.""}, {""phrase"": ""knock off ten dollars"", ""example_sentence"": ""Workers often knock off ten dollars during a busy day.""}, {""phrase"": ""knock off a quick task"", ""example_sentence"": ""Students should learn to knock off a quick task when it is useful.""}]","[{""phrase"": ""আগে কাজ বন্ধ করা কাজ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে আগে কাজ বন্ধ করা কাজ করা অনুশীলন করে।""}, {""phrase"": ""ten dollars বন্ধ করা কাজ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ten dollars বন্ধ করা কাজ করা অনুশীলন করে।""}, {""phrase"": ""একটি quick কাজ বন্ধ করা কাজ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি quick কাজ বন্ধ করা কাজ করা অনুশীলন করে।""}]",stop working; finish; reduce a price,continue working; start; raise the price,A2,"04 - Work, Responsibility & Productivity","For the environment, Noah decided to knock off plastic use in the office.","পরিবেশের জন্য, নোয়া অফিসে প্লাস্টিকের ব্যবহার বন্ধ করা কাজ করা বা কমানো করার সিদ্ধান্ত নিয়েছিল।","office kitchen with reusable bottles and containers replacing plastic items. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""The family wants to knock off on waste this month."", ""Daniel decided to knock off after looking at the bill."", ""We need to knock off before the exam week.""]"
Phrasal Verb,lay out,/leɪ aʊt/,LAY out,লেই আউট,To arrange or present clearly; to spend money,স্পষ্টভাবে সাজানো বা উপস্থাপন করা; খরচ করা টাকা,"[{""phrase"": ""lay out the plan"", ""example_sentence"": ""You can lay out the plan in everyday situations.""}, {""phrase"": ""lay out the rules"", ""example_sentence"": ""Workers often lay out the rules during a busy day.""}, {""phrase"": ""lay out the options"", ""example_sentence"": ""Students should learn to lay out the options when it is useful.""}]","[{""phrase"": ""পরিকল্পনাটি উপস্থাপন করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি উপস্থাপন করা অনুশীলন করে।""}, {""phrase"": ""নিয়মগুলো উপস্থাপন করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে নিয়মগুলো উপস্থাপন করা অনুশীলন করে।""}, {""phrase"": ""বিকল্পগুলো উপস্থাপন করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে বিকল্পগুলো উপস্থাপন করা অনুশীলন করে।""}]",arrange clearly; present; spread out; spend money,hide; confuse; gather up; save money,A2,01 - Communication & Discussion,"In the hall, Mia decided to lay out the chairs in a straight line.","হলে, মিয়া চেয়ারগুলো সোজা লাইনে স্পষ্টভাবে সাজানো বা উপস্থাপন করা বা খরচ করা টাকা করার সিদ্ধান্ত নিয়েছিল।","community hall with chairs being arranged neatly before an event. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Daniel helped to lay out the chairs before class."", ""We should lay out the ideas more clearly."", ""The manager asked them to lay out the files on the desk.""]"
Phrasal Verb,lead to,/lɛd tu/,LED too,লেড টু,To result in or cause something,কোনো কিছুর ফল হওয়া বা ঘটানো,"[{""phrase"": ""lead to better results"", ""example_sentence"": ""You can lead to better results in everyday situations.""}, {""phrase"": ""lead to new problems"", ""example_sentence"": ""Workers often lead to new problems during a busy day.""}, {""phrase"": ""lead to higher sales"", ""example_sentence"": ""Students should learn to lead to higher sales when it is useful.""}]","[{""phrase"": ""better ফলাফল কিছুর ফল হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে better ফলাফল কিছুর ফল হওয়া অনুশীলন করে।""}, {""phrase"": ""নতুন problems কিছুর ফল হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে নতুন problems কিছুর ফল হওয়া অনুশীলন করে।""}, {""phrase"": ""higher বিক্রি কিছুর ফল হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে higher বিক্রি কিছুর ফল হওয়া অনুশীলন করে।""}]",result in; cause; bring about,prevent; stop; avoid causing,A2,"06 - Progress, Success & Results","During the day, Daniel had to lead to.","দিনের মধ্যে, ড্যানিয়েলকে কোনো কিছুর ফল হওয়া বা ঘটানো প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Aisha had to lead to before lunch."", ""We decided to lead to during the meeting."", ""They want to lead to this week.""]"
Phrasal Verb,let down,/lɛt daʊn/,LET DOWN,লেট ডাউন,To disappoint someone,কাউকে হতাশ করা,"[{""phrase"": ""let down a friend"", ""example_sentence"": ""You can let down a friend in everyday situations.""}, {""phrase"": ""let down the team"", ""example_sentence"": ""Workers often let down the team during a busy day.""}, {""phrase"": ""let down your family"", ""example_sentence"": ""Students should learn to let down your family when it is useful.""}]","[{""phrase"": ""একজন বন্ধু কাউকে হতাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একজন বন্ধু কাউকে হতাশ করা অনুশীলন করে।""}, {""phrase"": ""দলটি কাউকে হতাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দলটি কাউকে হতাশ করা অনুশীলন করে।""}, {""phrase"": ""আপনার family কাউকে হতাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে আপনার family কাউকে হতাশ করা অনুশীলন করে।""}]",disappoint; fail someone,support; satisfy; encourage,A2,"09 - Relationships, Feelings & Daily Life","After school, Aisha had to let down.","স্কুলের পর, আইশাকে কাউকে হতাশ করা প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Lucas had to let down before lunch."", ""We decided to let down during the meeting."", ""They want to let down this week.""]"
Phrasal Verb,let go of,/lɛt ɡoʊ ʌv/,LET GOH uv,লেট গো আভ,To release; to stop holding onto something emotionally,মুক্ত করা; বন্ধ করা আবেগগতভাবে আঁকড়ে ধরা,"[{""phrase"": ""let go of the past"", ""example_sentence"": ""You can let go of the past in everyday situations.""}, {""phrase"": ""let go of the rope"", ""example_sentence"": ""Workers often let go of the rope during a busy day.""}, {""phrase"": ""let go of old habits"", ""example_sentence"": ""Students should learn to let go of old habits when it is useful.""}]","[{""phrase"": ""past মুক্ত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে past মুক্ত করা অনুশীলন করে।""}, {""phrase"": ""rope মুক্ত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে rope মুক্ত করা অনুশীলন করে।""}, {""phrase"": ""পুরোনো অভ্যাস মুক্ত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পুরোনো অভ্যাস মুক্ত করা অনুশীলন করে।""}]",release; stop holding; stop clinging to,hold; keep; cling to,B1,"09 - Relationships, Feelings & Daily Life","At work, Lucas had to let go of.","কর্মক্ষেত্রে, লুকাসকে মুক্ত করা বা বন্ধ করা আবেগগতভাবে আঁকড়ে ধরা প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Sofia had to let go of before lunch."", ""We decided to let go of during the meeting."", ""They want to let go of this week.""]"
Phrasal Verb,let in,/lɛt ɪn/,LET een,লেট ইন,To allow someone to enter,কাউকে প্রবেশ করতে দেওয়া,"[{""phrase"": ""let in fresh air"", ""example_sentence"": ""You can let in fresh air in everyday situations.""}, {""phrase"": ""let in a visitor"", ""example_sentence"": ""Workers often let in a visitor during a busy day.""}, {""phrase"": ""let in more light"", ""example_sentence"": ""Students should learn to let in more light when it is useful.""}]","[{""phrase"": ""fresh air কাউকে প্রবেশ করতে দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে fresh air কাউকে প্রবেশ করতে দেওয়া অনুশীলন করে।""}, {""phrase"": ""একটি visitor কাউকে প্রবেশ করতে দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি visitor কাউকে প্রবেশ করতে দেওয়া অনুশীলন করে।""}, {""phrase"": ""more light কাউকে প্রবেশ করতে দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে more light কাউকে প্রবেশ করতে দেওয়া অনুশীলন করে।""}]",allow in; admit; permit entry,keep out; block; exclude,A2,"08 - Change, Growth, Rules & Control","During the day, Sofia had to let in.","দিনের মধ্যে, সোফিয়াকে কাউকে প্রবেশ করতে দেওয়া প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Ethan had to let in before lunch."", ""We decided to let in during the meeting."", ""They want to let in this week.""]"
Phrasal Verb,let know,/lɛt noʊ/,LET NOH,লেট নো,To inform someone,কাউকে জানানো,"[{""phrase"": ""let know the manager"", ""example_sentence"": ""You can let know the manager in everyday situations.""}, {""phrase"": ""let know your teacher"", ""example_sentence"": ""Workers often let know your teacher during a busy day.""}, {""phrase"": ""let know the team"", ""example_sentence"": ""Students should learn to let know the team when it is useful.""}]","[{""phrase"": ""manager কাউকে জানানো"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে manager কাউকে জানানো অনুশীলন করে।""}, {""phrase"": ""আপনার teacher কাউকে জানানো"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে আপনার teacher কাউকে জানানো অনুশীলন করে।""}, {""phrase"": ""দলটি কাউকে জানানো"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দলটি কাউকে জানানো অনুশীলন করে।""}]",inform; tell; notify,keep uninformed; hide; mislead,A2,01 - Communication & Discussion,"After school, Ethan had to let know.","স্কুলের পর, ইথানকে কাউকে জানানো প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Lina had to let know before lunch."", ""We decided to let know during the meeting."", ""They want to let know this week.""]"
Phrasal Verb,let out,/lɛt aʊt/,LET out,লেট আউট,To release; to make a garment larger,মুক্ত করা; করা পোশাক বড়,"[{""phrase"": ""let out a secret"", ""example_sentence"": ""You can let out a secret in everyday situations.""}, {""phrase"": ""let out a sigh"", ""example_sentence"": ""Workers often let out a sigh during a busy day.""}, {""phrase"": ""let out the dog"", ""example_sentence"": ""Students should learn to let out the dog when it is useful.""}]","[{""phrase"": ""একটি গোপন কথা মুক্ত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি গোপন কথা মুক্ত করা অনুশীলন করে।""}, {""phrase"": ""একটি sigh মুক্ত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি sigh মুক্ত করা অনুশীলন করে।""}, {""phrase"": ""dog মুক্ত করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে dog মুক্ত করা অনুশীলন করে।""}]",release; allow out; make larger,hold in; keep; take in; tighten,A2,"09 - Relationships, Feelings & Daily Life","At work, Lina had to let out.","কর্মক্ষেত্রে, লিনাকে মুক্ত করা বা করা পোশাক বড় প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Omar had to let out before lunch."", ""We decided to let out during the meeting."", ""They want to let out this week.""]"
