word,sentence,sentence bangla,phrase,definition,list,type,ipa,pronunciation,bangla_pronunciation,synonyms,antonyms,bangla_meaning,Collocations,Collocations Bangla
abide,The senator said he would abide by the rules of congress.,সিনেটর বলেছেন যে তিনি কংগ্রেসের নিয়মকানুন মেনে চলবেন।,Abide by rules,Accept or act in accordance with,3000,verb,əˈbaɪd,uhb-ID,অব·আইড,"tolerate, endure, bear, withstand, accept","reject, defy, disobey",মেনে চলা বা সহ্য করা,"[
{
""phrase"": ""abide by the rules"",
""example_sentence"": ""All players must abide by the rules.""
},
{
""phrase"": ""abide by a decision"",
""example_sentence"": ""Both sides agreed to abide by the court’s decision.""
},
{
""phrase"": ""abide with someone"",
""example_sentence"": ""That memory will abide with me for years.""
}
]","[
{
""phrase"": ""নিয়ম মেনে চলা"",
""example_sentence"": ""সব খেলোয়াড়কে অবশ্যই নিয়ম মেনে চলা উচিত।""
},
{
""phrase"": ""সিদ্ধান্ত মেনে নেওয়া"",
""example_sentence"": ""উভয় পক্ষ আদালতের সিদ্ধান্ত মেনে নেওয়া বিষয়ে সম্মত হয়েছে।""
},
{
""phrase"": ""কারো সাথে থাকা"",
""example_sentence"": ""সেই স্মৃতি বছরের পর বছর কারো সাথে থাকা অনুভূতির মত আমার সাথে থাকবে।""
}
]"
abject,Millions of people in Africa live in abject poverty.,আফ্রিকার লক্ষ লক্ষ মানুষ চরম দারিদ্র্যে বাস করে।,Abject poverty,Experienced to maximum degree (something bad),800,adjective,ˈæbʤɛkt,AB-jehkt,অ্যাব·জএকট,"wretched, miserable, degraded, contemptible, pitiful","dignified, exalted, proud",চরম দুর্দশাগ্রস্ত,"[
{
""phrase"": ""abject poverty"",
""example_sentence"": ""Many families still live in abject poverty.""
},
{
""phrase"": ""abject failure"",
""example_sentence"": ""The plan ended in abject failure.""
},
{
""phrase"": ""abject misery"",
""example_sentence"": ""The war left the region in abject misery.""
}
]","[
{
""phrase"": ""চরম দারিদ্র্য"",
""example_sentence"": ""অনেক পরিবার এখনও চরম দারিদ্র্য এর মধ্যে বাস করে।""
},
{
""phrase"": ""চরম ব্যর্থতা"",
""example_sentence"": ""পরিকল্পনাটি চরম ব্যর্থতা তে শেষ হয়েছিল।""
},
{
""phrase"": ""চরম দুর্দশা"",
""example_sentence"": ""যুদ্ধ অঞ্চলটিকে চরম দুর্দশা এর মধ্যে ফেলে রেখেছিল।""
}
]"
abjure,He abjured his life of corporate misery.,তিনি তাঁর প্রাতিষ্ঠানিক দুর্দশার জীবন ত্যাগ করলেন।,Abjured religion,To no longer agree with a belief or behavior,800,verb,æbˈdʒʊr,ab-JOOR,অ্যাব·জউর,"renounce, recant, retract, forswear, abandon","embrace, affirm, advocate",বিশ্বাস বা আচরণ ত্যাগ করা,"[
{
""phrase"": ""abjure violence"",
""example_sentence"": ""The group was asked to abjure violence.""
},
{
""phrase"": ""abjure former beliefs"",
""example_sentence"": ""He publicly abjured his former beliefs.""
},
{
""phrase"": ""abjure worldly pleasures"",
""example_sentence"": ""The monk chose to abjure worldly pleasures.""
}
]","[
{
""phrase"": ""সহিংসতা ত্যাগ করা"",
""example_sentence"": ""দলটিকে সহিংসতা ত্যাগ করা বিষয়ে বলা হয়েছিল।""
},
{
""phrase"": ""পূর্বের বিশ্বাস ত্যাগ করা"",
""example_sentence"": ""সে প্রকাশ্যে তার পূর্বের বিশ্বাস ত্যাগ করা ঘোষণা করেছিল।""
},
{
""phrase"": ""জাগতিক আনন্দ ত্যাগ করা"",
""example_sentence"": ""সন্ন্যাসী জাগতিক আনন্দ ত্যাগ করা বেছে নিয়েছিলেন।""
}
]"
ablution,Ablution is part of many religious ceremonies.,ওযু অনেক ধর্মীয় অনুষ্ঠানের একটি অংশ।,Religious ablution,The act of washing yourself,3000,noun,æbˈluːʃən,uhb-LOOSH-uhn,অব·লউশ·অন,"washing, cleansing, purification, bathing, rinse",,শরীর ধোয়ার কাজ,"[
{
""phrase"": ""daily ablution"",
""example_sentence"": ""Morning prayer was followed by a daily ablution.""
},
{
""phrase"": ""ritual ablution"",
""example_sentence"": ""The temple requires ritual ablution before entry.""
},
{
""phrase"": ""perform ablution"",
""example_sentence"": ""They paused to perform ablution before the ceremony.""
}
]","[
{
""phrase"": ""দৈনন্দিন ওযু"",
""example_sentence"": ""সকালের প্রার্থনার আগে দৈনন্দিন ওযু করা হতো।""
},
{
""phrase"": ""আনুষ্ঠানিক ওযু"",
""example_sentence"": ""মন্দিরে প্রবেশের আগে আনুষ্ঠানিক ওযু প্রয়োজন।""
},
{
""phrase"": ""ওযু করা"",
""example_sentence"": ""অনুষ্ঠানের আগে তারা ওযু করা সম্পন্ন করতে বিরতি নিয়েছিল।""
}
]"
abnegation,Both of them tried to abnegate their responsibilities.,তারা দুজনেই নিজেদের দায়িত্ব অস্বীকার করার চেষ্টা করেছিল।,Abnegate responsibility,Reject or renounce something desirable or valuable,3000,noun,ˌæbnɛˈgeɪʃən,ab-nehg-AYSH-uhn,অ্যাব·নএগ·এইশ·অন,"self-denial, renunciation, abstinence, sacrifice, rejection","indulgence, acceptance, self-gratification",মূল্যবান কিছু প্রত্যাখ্যান করা,"[
{
""phrase"": ""spirit of abnegation"",
""example_sentence"": ""Her work was marked by a spirit of abnegation.""
},
{
""phrase"": ""self-abnegation"",
""example_sentence"": ""The novel praises self-abnegation and duty.""
},
{
""phrase"": ""act of abnegation"",
""example_sentence"": ""Leaving the reward behind was an act of abnegation.""
}
]","[
{
""phrase"": ""আত্মত্যাগের মনোভাব"",
""example_sentence"": ""তার কাজ আত্মত্যাগের মনোভাব দ্বারা চিহ্নিত ছিল।""
},
{
""phrase"": ""আত্মত্যাগ"",
""example_sentence"": ""উপন্যাসটি আত্মত্যাগ এবং কর্তব্যের প্রশংসা করে।""
},
{
""phrase"": ""আত্মত্যাগের কাজ"",
""example_sentence"": ""পুরস্কার পিছনে ফেলে যাওয়া একটি আত্মত্যাগের কাজ ছিল।""
}
]"
abode,"What he called a humble abode, was spread in almost 50000 sq. ft.","যেটাকে তিনি একটি সাধারণ বাসস্থান বলতেন, তা প্রায় ৫০,০০০ বর্গফুট জুড়ে বিস্তৃত ছিল।",Humble abode,Place where someone lives,3000,noun,əˈboʊd,uhb-OHD,অব·ওড,"dwelling, residence, home, habitat, domicile",,বাসস্থান,"[
{
""phrase"": ""humble abode"",
""example_sentence"": ""Welcome to my humble abode.""
},
{
""phrase"": ""permanent abode"",
""example_sentence"": ""They finally found a permanent abode near the coast.""
},
{
""phrase"": ""place of abode"",
""example_sentence"": ""The form asks for your current place of abode.""
}
]","[
{
""phrase"": ""বিনীত বাসস্থান"",
""example_sentence"": ""আমার বিনীত বাসস্থান এ স্বাগতম।""
},
{
""phrase"": ""স্থায়ী বাসস্থান"",
""example_sentence"": ""অবশেষে তারা উপকূলের কাছে একটি স্থায়ী বাসস্থান খুঁজে পেয়েছিল।""
},
{
""phrase"": ""বাসস্থান"",
""example_sentence"": ""ফর্মে আপনার বর্তমান বাসস্থান এর কথা জানতে চাওয়া হয়েছে।""
}
]"
abolish,Government need to take steps to abolish arm trades.,সরকারকে অস্ত্র ব্যবসা নির্মূল করার পদক্ষেপ নিতে হবে।,Abolish arm trades,To end an activity or custom officially,3000,verb,əˈbɑlɪʃ,uhb-AHL-ihsh,অব·আল·ইশ,"eliminate, eradicate, annul, repeal, revoke","establish, create, enact",আনুষ্ঠানিকভাবে বাতিল করা,"[
{
""phrase"": ""abolish slavery"",
""example_sentence"": ""Many reformers fought to abolish slavery.""
},
{
""phrase"": ""abolish a law"",
""example_sentence"": ""The government voted to abolish the old law.""
},
{
""phrase"": ""abolish the system"",
""example_sentence"": ""Citizens demanded that officials abolish the unfair system.""
}
]","[
{
""phrase"": ""দাসত্ব বাতিল করা"",
""example_sentence"": ""অনেক সংস্কারক দাসত্ব বাতিল করা নিয়ে লড়াই করেছিলেন।""
},
{
""phrase"": ""আইন বাতিল করা"",
""example_sentence"": ""সরকার পুরানো আইন বাতিল করা নিয়ে ভোট দিয়েছে।""
},
{
""phrase"": ""ব্যবস্থা বাতিল করা"",
""example_sentence"": ""নাগরিকরা দাবি করেছিল যে কর্মকর্তারা অন্যায্য ব্যবস্থা বাতিল করা নিশ্চিত করুক।""
}
]"
abominable,Prisoners were forces to live in abominable conditions.,বন্দীদেরকে অত্যন্ত জঘন্য পরিস্থিতিতে থাকতে বাধ্য করা হতো।,Abominable conditions,Very bad or unpleasant,3000,adjective,əˈbɑmənəbəl,uhb-AHM-uhn-uhb-uhl,অব·আম·অন·অব·অল,"horrible, atrocious, detestable, execrable, heinous","admirable, delightful, pleasant",অত্যন্ত খারাপ বা অপ্রীতিকর,"[
{
""phrase"": ""highly abominable"",
""example_sentence"": ""The issue became highly abominable after the report was released.""
},
{
""phrase"": ""remarkably abominable"",
""example_sentence"": ""Her response was remarkably abominable under pressure.""
},
{
""phrase"": ""deeply abominable"",
""example_sentence"": ""He felt deeply abominable after hearing the news.""
}
]","[
{
""phrase"": ""অত্যন্ত জঘন্য"",
""example_sentence"": ""প্রতিবেদন প্রকাশের পর বিষয়টি অত্যন্ত জঘন্য হয়ে ওঠে।""
},
{
""phrase"": ""উল্লেখযোগ্যভাবে জঘন্য"",
""example_sentence"": ""চাপের মুখে তার প্রতিক্রিয়া উল্লেখযোগ্যভাবে জঘন্য ছিল।""
},
{
""phrase"": ""গভীরভাবে জঘন্য"",
""example_sentence"": ""খবরটি শোনার পর সে গভীরভাবে জঘন্য বোধ করেছিল।""
}
]"
abominate,He abominated all kinds of relations.,তিনি সব ধরনের সম্পর্ককে ঘৃণা করতেন।,Abominate the idea,To hate something very much,3000,verb,əˈbɒmɪneɪt,uh-BOMIHNAYT,অ·বওমইনএইট,"detest, loathe, despise, abhor, execrate","adore, love, cherish",তীব্রভাবে ঘৃণা করা,"[
{
""phrase"": ""carefully abominate"",
""example_sentence"": ""The team must carefully abominate the process before moving on.""
},
{
""phrase"": ""fully abominate"",
""example_sentence"": ""The new policy may fully abominate the old system.""
},
{
""phrase"": ""quickly abominate"",
""example_sentence"": ""Good leaders quickly abominate when conditions change.""
}
]","[
{
""phrase"": ""সতর্কতার সাথে ঘৃণা করা"",
""example_sentence"": ""এগিয়ে যাওয়ার আগে দলটিকে অবশ্যই সতর্কতার সাথে ঘৃণা করা শিখতে হবে।""
},
{
""phrase"": ""সম্পূর্ণরূপে ঘৃণা করা"",
""example_sentence"": ""নতুন নীতি পুরানো ব্যবস্থাকে সম্পূর্ণরূপে ঘৃণা করা শুরু করতে পারে।""
},
{
""phrase"": ""দ্রুত ঘৃণা করা"",
""example_sentence"": ""পরিস্থিতি পরিবর্তিত হলে ভালো নেতাদের দ্রুত ঘৃণা করা উচিত নয়।""
}
]"
aboriginal,Red indians were the actual aboriginal inhabitants of America.,রেড ইন্ডিয়ানরাই ছিল আমেরিকার প্রকৃত আদি বাসিন্দা।,Aboriginal inhabitants,People who have existed at a place since the earliest time,3000,adjective,ˌæbərˈɪʤənəl,ab-ur-IHJ-uhn-uhl,অ্যাব·আর·ইজ·অন·অল,"indigenous, native, primordial, original, autochthonous","foreign, immigrant, non-native",আদিবাসী বা মূল অধিবাসী,"[
{
""phrase"": ""aboriginal people"",
""example_sentence"": ""The museum honors the history of aboriginal people.""
},
{
""phrase"": ""aboriginal culture"",
""example_sentence"": ""She wrote her paper on aboriginal culture.""
},
{
""phrase"": ""aboriginal land"",
""example_sentence"": ""The court recognized aboriginal land rights.""
}
]","[
{
""phrase"": ""আদিবাসী মানুষ"",
""example_sentence"": ""জাদুঘরটি আদিবাসী মানুষ এর ইতিহাসকে সম্মান করে।""
},
{
""phrase"": ""আদিবাসী সংস্কৃতি"",
""example_sentence"": ""সে আদিবাসী সংস্কৃতি এর উপর তার গবেষণাপত্র লিখেছিল।""
},
{
""phrase"": ""আদিবাসী ভূমি"",
""example_sentence"": ""আদালত আদিবাসী ভূমি এর অধিকারকে স্বীকৃতি দিয়েছে।""
}
]"
abortive,The abortive plan of descending from high slope costed lives.,উঁচু ঢাল থেকে নামার ব্যর্থ পরিকল্পনাটির কারণে প্রাণহানি ঘটে।,Abortive mission,Failing to produce the desired result,3000,adjective,əˈbɔrtɪv,uhb-AWR-tihv,অব·অর·টইভ,"futile, unsuccessful, fruitless, vain, failed","successful, fruitful, productive",ব্যর্থ বা অসফল,"[
{
""phrase"": ""abortive attempt"",
""example_sentence"": ""Attacked by armed troops, the Chinese students had to abandon their abortive attempt to democratize Beijing peacefully.""
},
{
""phrase"": ""highly abortive"",
""example_sentence"": ""The issue became highly abortive after the report was released.""
},
{
""phrase"": ""remarkably abortive"",
""example_sentence"": ""Her response was remarkably abortive under pressure.""
}
]","[
{
""phrase"": ""ব্যর্থ প্রচেষ্টা"",
""example_sentence"": ""সশস্ত্র বাহিনীর দ্বারা আক্রান্ত হয়ে, চীনা ছাত্রদের শান্তিপূর্ণভাবে বেইজিংকে গণতান্ত্রিক করার তাদের ব্যর্থ প্রচেষ্টা ত্যাগ করতে হয়েছিল।""
},
{
""phrase"": ""অত্যন্ত ব্যর্থ"",
""example_sentence"": ""প্রতিবেদন প্রকাশের পর বিষয়টি অত্যন্ত ব্যর্থ হয়ে ওঠে।""
},
{
""phrase"": ""উল্লেখযোগ্যভাবে ব্যর্থ"",
""example_sentence"": ""চাপের মুখে তার প্রতিক্রিয়া উল্লেখযোগ্যভাবে ব্যর্থ ছিল।""
}
]"
abrasive,His abrasive manner can make you cry over the phone.,তার রুক্ষ স্বভাবের কারণে ফোনেই আপনার কান্না চলে আসতে পারে।,Abrasive person,Rude and unfriendly,3000,adjective,əˈbreɪsɪv,uhb-RAYS-ihv,অব·রএইস·ইভ,"harsh, rough, caustic, grating, irritating","gentle, smooth, tactful",রুক্ষ ও অবন্ধুত্বপূর্ণ,"[
{
""phrase"": ""abrasive personality"",
""example_sentence"": ""His abrasive personality made teamwork difficult.""
},
{
""phrase"": ""abrasive tone"",
""example_sentence"": ""The email had an abrasive tone.""
},
{
""phrase"": ""abrasive material"",
""example_sentence"": ""The worker used an abrasive material to smooth the surface.""
}
]","[
{
""phrase"": ""কর্কশ ব্যক্তিত্ব"",
""example_sentence"": ""তার কর্কশ ব্যক্তিত্ব দলগত কাজকে কঠিন করে তুলেছিল।""
},
{
""phrase"": ""কর্কশ সুর"",
""example_sentence"": ""ইমেইলটির একটি কর্কশ সুর ছিল।""
},
{
""phrase"": ""ঘর্ষক পদার্থ"",
""example_sentence"": ""কর্মী পৃষ্ঠটি মসৃণ করতে একটি ঘর্ষক পদার্থ ব্যবহার করেছিল।""
}
]"
