Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
"TV, television",(n.),Everyday environments & spaces,The family home,ˌtiːˈviː/ টিভি/ tee-vee,An electronic device for receiving broadcast programs,টেলিভিশন,The family watched the news on TV together.,"A family sitting on a sofa watching a large flat-screen television in a living room, warm cozy mood","watch TV, flat-screen TV, TV show, cable television","telly, screen, set",
furniture,(n.),Everyday environments & spaces,The family home,ˈfɜːnɪtʃə/ ফার্নিচার/ fur-ni-cher,"Large movable equipment, such as tables and chairs, used to make a space suitable for living or working",আসবাবপত্র,They bought new furniture for the living room.,"A cozy living room with a couch, table, and lamp","piece of furniture, wooden furniture","furnishings, fittings, fixtures",
garage,(n.),Everyday environments & spaces,The family home,ˈɡærɑːʒ/ গ্যারেজ/ gar-ahzh,A building for housing a motor vehicle or vehicles,গ্যারেজ,He parked his car in the garage.,A car pulling into a large open garage door,"park in the garage, garage door","carport, workshop, depot",
household,"(n.), (adj.)",Everyday environments & spaces,The family home,ˈhaʊshəʊld/ হাউসহোল্ড/ house-hold,A house and its occupants regarded as a unit.,পরিবার / গৃহস্থালী,Many households own at least one car.,"A happy family sitting together in a modern living room, warm lighting, vector art","household chores, household income, head of the household","family, domestic, home, residence","foreign, public"
housing,(n.),Everyday environments & spaces,The family home,ˈhaʊzɪŋ/ হাউজিং/ how-zing,Houses and apartments considered collectively,বাসস্থান,There is a shortage of affordable housing.,"A dense neighborhood of many identical, closely packed apartment buildings","housing estate, affordable housing","accommodation, shelter, dwelling, residence",homelessness
heating,(n.),Everyday environments & spaces,The family home,ˈhiːtɪŋ/ হিটিং/ hee-ting,"Equipment or devices used to provide heat, especially to a building",উত্তাপ ব্যবস্থা,We need to fix the central heating.,"A brightly glowing radiator inside a cozy, warmly lit wooden room","central heating, heating system","warmth, heat, central heating","cooling, refrigeration"
carpet,(n.),Everyday environments & spaces,The family home,ˈkɑːpɪt/ কার্পেট/ kahr-pit,A floor covering made from thick woven fabric,কার্পেট / গালিচা,The room has a red carpet.,A rolled out lush red carpet,"red carpet, magic carpet, lay a carpet","rug, mat, flooring",
curtain,(n.),Everyday environments & spaces,The family home,ˈkɜːtn/ কার্টেন/ kur-tn,A piece of material suspended at the top to form a covering or screen,পর্দা,She drew the curtains.,Heavy red velvet theater curtains,"draw the curtain, behind the curtain","drape, blind, screen",
closet,(n.),Everyday environments & spaces,The family home,ˈklɒzɪt/ ক্লোজেট/ kloz-it,"A tall cupboard or wardrobe with a door, used for storage",আলমারি,Hang your coat in the closet.,"A spacious, highly organized wooden closet filled with neatly hung clothes","walk-in closet, closet door, hide in the closet","wardrobe, cupboard, cabinet",
cupboard,(n.),Everyday environments & spaces,The family home,ˈkʌbəd/ কাবোর্ড/ kuhb-erd,"A cabinet or closet, usually with a door and shelves, used for storage",আলমারি,The plates are in the cupboard.,A wooden kitchen cupboard with plates,"kitchen cupboard, bare cupboard","cabinet, wardrobe, closet",
owner,(n.),Everyday environments & spaces,The family home,ˈoʊnə/ ওউনার/ oh-ner,A person who owns something.,মালিক,Are you the owner of this dog?,A person smiling and affectionately holding the leash of a happy dog.,"business owner, proud owner","proprietor, possessor, holder","tenant, renter"
painter,(n.),Everyday environments & spaces,The family home,ˈpeɪntə/ পেইন্টার/ peyn-ter,An artist who paints pictures; a person whose job is painting buildings.,চিত্রশিল্পী / রংমিস্ত্রি,He is a famous portrait painter.,"An artist wearing an apron, holding a palette, standing in front of a canvas.","famous painter, landscape painter","artist, decorator, illustrator",
painting,(n.),Everyday environments & spaces,The family home,ˈpeɪntɪŋ/ পেইন্টিং/ peyn-ting,"The process or art of using paint, in a picture, as a protective coating, or as decoration.",চিত্রকর্ম,She bought a beautiful oil painting.,"A highly detailed, framed oil painting of a peaceful sunset landscape.","oil painting, famous painting","picture, artwork, canvas, illustration",
picture,(n.),Everyday environments & spaces,The family home,ˈpɪktʃə/ পিকচার/ pik-cher,A painting or drawing; a photograph.,ছবি,I took a picture of the mountains.,A framed photograph of a family hung neatly on a living room wall.,"take a picture, draw a picture","image, photo, painting, illustration",
property,(n.),Everyday environments & spaces,The family home,ˈprɒpəti/ প্রপার্টি/ prop-er-tee,A thing or things belonging to someone; possessions collectively.,সম্পত্তি,The police recovered the stolen property.,"A beautiful residential house sitting on a wide, green lawn.","private property, intellectual property","asset, estate, possession, real estate","debt, liability"
radio,(n.),Everyday environments & spaces,The family home,ˈreɪdioʊ/ রেডিও/ rey-dee-oh,"The transmission and reception of electromagnetic waves of radio frequency, especially those carrying sound messages.",রেডিও,I listen to the radio every morning.,"A vintage, wooden encased radio set with large dials and a speaker.","on the radio, radio station","receiver, broadcast, wireless",
ceiling,(n.),Everyday environments & spaces,The family home,ˈsiːlɪŋ/ সিলিং/ see-ling,The upper interior surface of a room,সিলিং / ছাদ,A beautiful chandelier hung from the ceiling.,An ornate white ceiling with a crystal chandelier,"glass ceiling, high ceiling, stare at the ceiling","roof, top, overhead",floor
table,(n.),Everyday environments & spaces,The family home,ˈteɪbl/ টেবিল/ tey-buhl,"A piece of furniture with a flat top and one or more legs, providing a level surface on which objects may be placed, and that can be used for such purposes as eating, writing, working, or playing games",টেবিল,She placed the book on the table.,"A sturdy, polished oak wooden dining table","dining table, table tennis","desk, counter, surface",
television (also TV),(n.),Everyday environments & spaces,The family home,ˈtɛlɪvɪʒn/ টেলিভিশন/ tel-uh-vizh-uhn,A system for transmitting visual images and sound that are reproduced on screens,টেলিভিশন,We sat down to watch television.,"A flat-screen television showing a bright, colorful sports game","watch television, television screen","telly, screen, set",
window,(n.),Everyday environments & spaces,The family home,ˈwɪndoʊ/ উইন্ডো/ win-doh,An opening in the wall or roof of a building or vehicle that is fitted with glass or other transparent material in a frame to admit light or air,জানালা,He looked out the window.,"A bright, sunny, open window looking out onto a beautiful green garden","open the window, broken window","pane, opening, casement",wall
decoration,(n.),Everyday environments & spaces,The family home,ˌdɛkəˈreɪʃn/ ডেকোরেশন/ dek-uh-rey-shuhn,The process or art of decorating or adorning something,সাজসজ্জা,The Christmas decorations are beautiful.,A shiny glass ornament hanging on a pine tree,"Christmas decoration, interior decoration","ornament, adornment, embellishment, trim","plainness, simplicity"
bell,(n.),Everyday environments & spaces,The family home,bɛl/ বেল/ bel,"A hollow object, typically made of metal, that sounds a clear musical note when struck",ঘণ্টা,The school bell rang loudly.,"A shiny brass bell swinging back and forth, emitting sound waves","ring a bell, door bell, alarm bell","chime, ring, buzzer",
blind,(adj.),Everyday environments & spaces,The family home,blaɪnd/ ব্লাইন্ড/ blahynd,Unable to see,অন্ধ,He has been blind since birth.,A person wearing dark sunglasses using a white walking stick,"go blind, partially blind, blind eye","sightless, visually impaired, unseeing","sighted, aware"
domestic,(adj.),Everyday environments & spaces,The family home,dəˈmɛstɪk/ ডোমেস্টিক/ duh-mes-tik,Relating to the running of a home or to family relations,গার্হস্থ্য / দেশীয়,She loves domestic chores like baking and cleaning.,A cozy living room with a crackling fireplace and a cat sleeping,"domestic violence, domestic flight","household, home, internal, local","foreign, international"
door,(n.),Everyday environments & spaces,The family home,dɔː/ ডোর/ dawr,"A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle",দরজা,Please close the front door.,"A heavy, ornate, ancient wooden door with iron hinges","front door, open the door","entrance, gate, entry, portal",exit
drawer,(n.),Everyday environments & spaces,The family home,drɔː/ ড্রয়ার/ drawr,"A box-like storage compartment without a lid, made to slide horizontally in and out of a desk, chest, or other piece of furniture",ড্রয়ার / টানাকল,I found the keys in the top drawer.,"An open wooden drawer filled with neat, organized colorful socks","top drawer, bottom drawer","compartment, tray, slot",
apart from,(prep.),Everyday environments & spaces,The family home,əˈpɑːt frɒm/ অ্যাপার্ট ফ্রম/ uh-pahrt from,Except for,তাছাড়া / ব্যতীত,"Apart from the weather, the trip was great.",A single green apple isolated from a large pile of shiny red apples,"apart from that, quite apart from, stand apart from","besides, except for, other than, excluding",including
apartment,(n.),Everyday environments & spaces,The family home,əˈpɑːtmənt/ অ্যাপার্টমেন্ট/ uh-pahrt-muhnt,"A suite of rooms forming one residence, typically in a building",অ্যাপার্টমেন্ট (বাসা),They rented a small apartment in the city.,A modern city apartment building with warmly lit windows at dusk,"apartment block, rent an apartment, apartment building","flat, unit, suite, dwelling",
photographer,(n.),Everyday environments & spaces,The family home,fəˈtɒɡrəfə/ ফটোগ্রাফার/ fuh-tog-ruh-fer,"A person who takes photographs, especially as a job.",আলোকচিত্রী / ফটোগ্রাফার,She is a professional wildlife photographer.,A person holding a professional DSLR camera with a huge zoom lens outdoors.,"professional photographer, amateur photographer","cameraman, photojournalist, lensman",
fence,(n.),Everyday environments & spaces,The family home,fɛns/ ফেন্স/ fens,"A barrier, railing, or other upright structure, typically of wood or wire, enclosing an area of ground",বেড়া,They built a wooden fence around the garden.,"A neat, freshly painted white wooden picket fence","wooden fence, jump the fence","barrier, wall, boundary, railing",
floor,(n.),Everyday environments & spaces,The family home,flɔː/ ফ্লোর/ flawr,"The lower surface of a room, on which one may walk",মেঝে / তলা,He dropped his keys on the floor.,"A highly polished, shiny wooden hardwood floor reflecting light","ground floor, dance floor","ground, base, bottom, level","ceiling, roof"
frame,"(n.), (v.)",Everyday environments & spaces,The family home,freɪm/ ফ্রেম/ freym,A rigid structure that surrounds or encloses something such as a door or window,কাঠামো / বাঁধানো,He bought a wooden frame for the picture.,An ornate wooden picture frame hanging on a wall,"picture frame, window frame","border, structure, mount, enclose",
gate,(n.),Everyday environments & spaces,The family home,ɡeɪt/ গেট/ geyt,"A hinged barrier used to close an opening in a wall, fence, or hedge",ফটক,He opened the wooden gate.,An ornate black iron gate swinging slightly open,"iron gate, front gate","entrance, barrier, door, portal",exit
house,(n.),Everyday environments & spaces,The family home,haʊs/ হাউস/ hows,"A building for human habitation, especially one that is lived in by a family or small group of people",বাড়ি,They moved into a new house.,A charming two-story suburban home with a neat lawn,"move house, build a house","home, dwelling, residence, property",
hall,(n.),Everyday environments & spaces,The family home,hɔːl/ হল/ hawl,The room or space just inside the front entrance of a house or flat,হলঘর,Leave your coat in the hall.,"A long, elegant hallway lined with doors and framed paintings","town hall, city hall","corridor, hallway, passage, lobby",
clock,(n.),Everyday environments & spaces,The family home,klɒk/ ক্লক/ klok,"A mechanical or electrical device for measuring time, indicating hours, minutes, and sometimes seconds",ঘড়ি,The clock on the wall says it's three o'clock.,A classic round analog wall clock showing exactly twelve o'clock,"alarm clock, round the clock, against the clock","timepiece, watch, timer",
lamp,(n.),Everyday environments & spaces,The family home,læmp/ ল্যাম্প/ lamp,A device for giving light.,বাতি,She turned on the reading lamp.,A classic brass desk lamp casting a warm yellow light onto an open book.,"table lamp, street lamp","light, lantern, torch, bulb",
pipe,(n.),Everyday environments & spaces,The family home,paɪp/ পাইপ/ pahyp,"A tube used to convey water, gas, oil, or other fluid substances.",নল / পাইপ,Water leaked from the broken pipe.,"A thick, metal plumbing pipe leaking a single, clear drop of water.","water pipe, smoke a pipe","tube, conduit, duct, hose",
plug,(n.),Everyday environments & spaces,The family home,plʌɡ/ প্লাগ/ pluhg,A device for making an electrical connection; a piece of solid material fitting tightly into a hole.,প্লাগ / ছিপি,Put the plug in the bath.,A black rubber bath plug firmly set in a white porcelain drain.,"bath plug, electric plug","stopper, connector, socket, cap",
roof,(n.),Everyday environments & spaces,The family home,ruːf/ রুফ/ roof,The structure forming the upper covering of a building or vehicle.,ছাদ,The rain was falling heavily on the roof.,A steeply angled house roof covered in classic red clay tiles.,"leaky roof, on the roof","top, covering, canopy, shelter","floor, base"
room,(n.),Everyday environments & spaces,The family home,ruːm/ রুম/ room,"Space that can be occupied or where something can be done; a part or division of a building enclosed by walls, floor, and ceiling.",কক্ষ / জায়গা,This is my living room.,"A bright, airy living room with a comfortable sofa and big windows.","make room, living room","space, chamber, area, compartment",
stair,(n.),Everyday environments & spaces,The family home,stɛə/ স্টেয়ার/ stair,A set of steps leading from one floor of a building to another,সিঁড়ি,He ran up the stairs.,"A long, elegant wooden staircase leading upwards","flight of stairs, up the stairs","step, staircase, stairway",
switch sth off,(phr. v.),Everyday environments & spaces,The family home,swɪtʃ ɒf/ সুইচ অফ/ swich of,Turn an electrical device off,বন্ধ করা (সুইচ টিপে),Don't forget to switch the TV off.,A television screen turning completely black,"switch off the light, switch off the engine","turn off, shut off, deactivate","switch on, activate"
switch sth on,(phr. v.),Everyday environments & spaces,The family home,swɪtʃ ɒn/ সুইচ অন/ swich on,Turn an electrical device on,চালু করা (সুইচ টিপে),Can you switch the light on?,A bright lightbulb turning on instantly,"switch on the radio, switch on the power","turn on, activate, start","switch off, deactivate"
shelf,(n.),Everyday environments & spaces,The family home,ʃelf/ শেলফ/ shelf,"A flat length of wood or rigid material, attached to a wall or forming part of a piece of furniture, that provides a surface for the storage or display of objects.",তাক,Put the book back on the shelf.,A neat wooden bookshelf mounted on a wall with several colorful books.,"top shelf, book shelf","ledge, rack, bracket, surface",
chair,(n.),Everyday environments & spaces,The family home,tʃɛə/ চেয়ার/ chair,Chair,চেয়ার,Sit on the chair.,A wooden chair,sit on a chair,"seat, stool, armchair",
wall,(n.),Everyday environments & spaces,The family home,wɔːl/ ওয়াল/ wawl,A continuous vertical brick or stone structure that encloses or divides an area of land,দেয়াল,He hung a picture on the wall.,"A solid, sturdy brick wall made of red clay bricks","brick wall, climb a wall","barrier, partition, divider, fence","door, opening"
bite,"(v.), (n.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",baɪt/ বাইট/ byt,To cut into something with teeth; a wound from biting,কামড় দেওয়া / কামড়,The dog bit the boy on the leg.,"A dog baring its teeth near a person's leg, tense moment, realistic illustration","bite off, insect bite, take a bite, bite into","chew, gnaw, nibble, nip","release, spit"
cook,"(v.), (n.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",kʊk/ কুক/ kook,To prepare food using heat; a person who cooks,রান্না করা / রাঁধুনি,She cooked a delicious meal for the family.,"A chef in a kitchen stirring a pot on the stove, steam rising, warm light, realistic photo","head cook, cook up, home-cooked, cook a meal","prepare, bake, roast, chef","eat, consume"
cool,"(adj.), (v.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",kuːl/ কুল/ kool,Fairly cold; to become colder,ঠান্ডা / ঠান্ডা করা,Let the soup cool before you eat it.,"A bowl of soup with steam fading as it cools down on a wooden table, peaceful kitchen setting","cool down, keep cool, cool breeze, stay cool","chilly, cold, chill, refreshing","warm, hot"
mix,"(v.), (n.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",mɪks/ মিক্স/ miks,To combine things together; a combination of things,মেশানো / মিশ্রণ,Mix the flour and eggs in a bowl.,"A mixing bowl with eggs and flour being stirred with a wooden spoon, kitchen background, realistic","mix together, cake mix, mixed feelings, mix up","blend, combine, stir, merge","separate, divide"
slice,"(n.), (v.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",slaɪs/ স্লাইস/ slys,A thin flat piece cut from something; to cut thin pieces,ফালি / কাটা,She cut a slice of bread for breakfast.,"A hand slicing a loaf of bread with a knife on a cutting board, natural light, close-up photo","a slice of, slice through, bread slice, slice up","cut, piece, portion, chop","whole, join"
taste,"(n.), (v.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",teɪst/ টেস্ট/ tayst,The sensation of flavor; to try food to find its flavor,স্বাদ / চেখে দেখা,The cake tasted sweet and delicious.,"A person's face expressing delight after tasting cake, fork in hand, bright kitchen setting","good taste, taste of, bitter taste, taste test","flavour, savour, sample, try",
glasses,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈɡlɑːsɪz/ গ্লাসেস/ glah-siz,"A pair of lenses set in a frame resting on the nose and ears, used to correct or assist defective eyesight",চশমা,He put on his glasses to read the book.,A pair of black-rimmed reading glasses resting on an open book,"pair of glasses, reading glasses","spectacles, eyewear, specs, goggles",
kitchen,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈkɪtʃɪn/ কিচেন/ kich-in,A room or area where food is prepared and cooked.,রান্নাঘর,She is cooking in the kitchen.,"A bright, clean modern kitchen with a large marble island and stainless steel appliances.","kitchen table, modern kitchen","kitchenette, galley, scullery",
cooker,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈkʊkə/ কুকার/ kʊk-er,"An appliance used for cooking food, typically consisting of an oven, hob, and grill",চুলা,She put the pot on the cooker.,"A modern, shiny stainless steel kitchen stove with four glowing red burners","gas cooker, electric cooker, pressure cooker","stove, oven, range, hob",
cooking,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈkʊkɪŋ/ কুকিং/ kʊk-ing,"The practice or skill of preparing food by combining, mixing, and heating ingredients",রান্না,I love Italian cooking.,Various chopped fresh vegetables and spices thrown mid-air into a hot wok,"home cooking, do the cooking, cooking oil","cuisine, baking, culinary art, preparation",
season,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈsiːzn/ সিজন/ see-zuhn,"Each of the four divisions of the year (spring, summer, autumn, and winter) marked by particular weather patterns and daylight hours.",ঋতু,Autumn is my favorite season.,"A single tree showing four different seasons on its leaves: spring, summer, autumn, and winter.","holiday season, dry season","period, time, quarter, spell",
oven,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈʌvn/ ওভেন/ uhv-uhn,"An enclosed compartment, usually part of a cooker, for cooking and heating food.",উনুনের ভেতর / ওভেন,Bake the cake in the oven for 30 minutes.,A modern kitchen oven with the glass door glowing warm orange as a cake bakes inside.,"microwave oven, hot oven","stove, cooker, range, furnace",
washing,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ˈwɒʃɪŋ/ ওয়াশিং/ wosh-ing,"The action of washing oneself, one's clothes, or one's dishes",ধোয়ার কাজ / ধোয়ার কাপড়,I have a lot of washing to do.,A washing machine tumbling clothes in soapy water,"do the washing, washing machine","laundry, cleaning, rinsing",
bake,(v.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",beɪk/ বেক/ beyk,"Cook by dry heat without direct exposure to a flame, typically in an oven",সেঁকা,I am going to bake a cake.,A fresh golden-brown cake sitting inside a warm glowing oven,"bake a cake, fresh baked, perfectly baked","cook, roast, heat, prepare","freeze, chill"
burnt,(adj.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",bɜːnt/ বার্ন্ট/ burnt,Destroyed or badly damaged by fire,পোড়া,I don't like burnt toast.,A completely blackened and smoking piece of charcoal toast,"burnt toast, badly burnt, smell of burnt","charred, scorched, blackened, singed","fresh, raw"
bowl,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",boʊl/ বোল/ bohl,"A round, deep dish or basin used for food or liquid",বাটি,I ate a large bowl of soup.,A steaming white ceramic bowl filled with hot delicious soup,"soup bowl, wooden bowl, sugar bowl","dish, basin, cup, container",
boil,(v.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",bɔɪl/ বয়েল/ boil,Reach or cause to reach the temperature at which it bubbles and turns to vapor,ফুটানো,Boil the water before drinking it.,A heavy iron pot full of rapidly boiling bubbling water on a stove,"boil water, bring to a boil, boil over","simmer, heat, cook, bubble","freeze, cool"
fork,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",fɔːk/ ফর্ক/ fawk,An implement with two or more prongs used for lifting food to the mouth,কাঁটাচামচ,Use a knife and fork to eat the steak.,A shiny silver dining fork resting on a white napkin,"knife and fork, fork in the road","utensil, prong, branch, split",
fry,"(v.), (n.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",fraɪ/ ফ্রাই/ frahy,"Cook (food) in hot fat or oil, typically in a shallow pan",ভাজা,She decided to fry an egg for breakfast.,An egg sizzling loudly in a hot black frying pan,"fry an egg, french fries","cook, sauté, deep-fry, grill","boil, steam"
glass,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ɡlɑːs/ গ্লাস/ glahs,"A hard, brittle substance, typically transparent or translucent",কাঁচ / গ্লাস,Be careful not to drop the glass.,"A clear, elegant crystal wine glass filled with water","pane of glass, broken glass","cup, tumbler, beaker, mug",
heat,"(n.), (v.)",Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",hiːt/ হিট/ heet,The quality of being hot; high temperature,তাপ / উত্তপ্ত করা,The heat of the sun was intense.,"Thick, blurry waves of intense heat rising off a black asphalt road","intense heat, turn up the heat","warmth, temperature, warm, cook","cold, cool"
ingredient,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",ɪnˈɡriːdiənt/ ইনগ্রিডিয়েন্ট/ in-gree-dee-uhnt,A food that is used with other foods in the preparation of a particular dish.,উপাদান,Flour is the main ingredient in bread.,"A wooden table with small bowls holding flour, sugar, salt, and yeast, top-down view.","main ingredient, active ingredient","component, element, part, item",
cup,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",kʌp/ কাপ/ kuhp,"A small, bowl-shaped container for drinking from, typically having a handle",কাপ / পেয়ালা,She drank a cup of tea.,A steaming cup of tea on a saucer,"cup of tea, coffee cup","mug, glass, beaker, chalice",
lid,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",lɪd/ লিড/ lid,A removable or hinged cover for the top of a container.,ঢাকনা,Put the lid back on the jar.,A glass jar with a metallic screw-top lid partially open.,"jar lid, close the lid","cover, cap, top, seal",
knife,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",naɪf/ নাইফ/ nahyf,"An instrument composed of a blade fixed into a handle, used for cutting.",ছুরি,Use a sharp knife to cut the meat.,A shiny chef's knife resting on a wooden cutting board next to freshly cut vegetables.,"sharp knife, knife edge","blade, cutter, dagger",
pan,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",pæn/ প্যান/ pan,A metal container used for cooking food in.,কড়াই / প্যান,Heat the oil in a frying pan.,A black cast-iron frying pan sitting on a hot stove burner.,"frying pan, pots and pans","pot, skillet, saucepan, frying pan",
pot,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",pɒt/ পট/ pot,"A container, typically rounded or cylindrical and of ceramic ware or metal, used for storage or cooking.",পাত্র,She boiled water in a large pot.,"A large, metal cooking pot on a stove with steam rising from boiling water inside.","cooking pot, flower pot","pan, container, vessel, saucepan",
plate,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",pleɪt/ প্লেট/ pleyt,"A flat dish, typically circular and made of china, from which food is eaten or served.",থালা,He ate everything on his plate.,"An empty, clean white ceramic dining plate resting on a wooden table.","dinner plate, plate of food","dish, platter, saucer, tray",
pour,(v.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",pɔː/ পোর/ pawr,Flow rapidly in a steady stream.,ঢালা,Please pour me a glass of water.,"Fresh, clear water flowing beautifully from a glass pitcher into a cup.","pour a drink, pour rain","drizzle, tip, flow, spill",
raw,(adj.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",rɔː/ র/ raw,Not cooked.,কাঁচা,These vegetables can be eaten raw.,"A wooden cutting board with freshly cut, uncooked carrots and broccoli.","raw meat, raw material","uncooked, fresh, natural, unprocessed","cooked, processed"
spread,(v.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",sprɛd/ স্প্রেড/ spred,"Open out (something) so as to extend its surface area, width, or length",ছড়িয়ে দেওয়া,He spread butter on his toast.,A knife smoothly spreading peanut butter over bread,"spread the word, spread butter","smear, apply, scatter, distribute","gather, collect"
spoon,(n.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",spuːn/ স্পুন/ spoon,"An implement consisting of a small, shallow oval bowl on a long handle",চামচ,He ate the soup with a spoon.,A shiny silver spoon dipping into a bowl of soup,"wooden spoon, silver spoon","ladle, scoop, utensil",
stir,(v.),Everyday environments & spaces,"The kitchen — tools, equipment & cooking verbs",stɜː/ স্টার/ stur,Move a spoon or other implement around in (a liquid or other substance) in order to mix it thoroughly,নাড়ানো,Stir the soup well.,A wooden spoon stirring soup in a pot,"stir the pot, stir up trouble","mix, blend, agitate, whisk","still, settle"
